v,vi,i,x,y
20.157522196292092,0.8698088126530578,19.287713383639034,1538.438,865.269
19.60259366117177,0.7625026513668866,18.840091009804883,1548.987,970.389
19.35945738723593,0.7681208259729507,18.59133656126298,1612.378,717.167
17.28352219629209,0.7788088126530576,16.504713383639032,1594.694,758.202
17.616457387235933,0.6861208259729508,16.930336561262983,1631.198,717.16
19.49552219629209,0.7858088126530576,18.70971338363903,1634.276,730.054
17.61052219629209,0.7138088126530576,16.896713383639035,1626.267,819.132
18.99252219629209,0.7178088126530575,18.274713383639032,1655.048,731.833
18.857010510353675,0.7093017363186349,18.14770877403504,1654.575,844.867
17.892717973435783,0.6978813937699953,17.194836579665786,1677.174,579.123
19.35465544169517,0.7935268949822735,18.561128546712894,1679.349,585.81
17.52352219629209,0.7028088126530576,16.820713383639035,1677.089,779.982
20.83945738723593,0.9761208259729506,19.86333656126298,1693.148,715.55
19.741509875997345,0.7961510480517698,18.945358827945576,1729.333,422.922
20.0251063112451,0.8566709663028362,19.168435344942264,1721.065,693.297
20.718003847024352,0.9686340569963235,19.74936979002803,1733.202,881.566
19.85107200536462,0.8486549813631392,19.00241702400148,1731.734,912.573
20.859577187406558,0.9148407774597449,19.944736409946813,1753.215,347.705
19.112586831994474,0.7971703683685598,18.315416463625915,1749.633,603.715
15.72152219629209,0.9388088126530577,14.782713383639033,1752.657,764.286
18.72859157149931,0.7234983227653167,18.005093248733996,1739.244,796.886
19.852072260920444,0.8359905182825805,19.016081742637862,1761.186,801.658
19.26207200536462,0.7756549813631392,18.48641702400148,1762.62,920.387
19.986417649031697,0.8441039364676785,19.142313712564018,1747.193,967.56
18.56185414996591,0.7245859283817265,17.837268221584182,1783.815,707.491
17.710673318315255,0.6982037625790798,17.012469555736175,1804.045,340.144
20.097673318315255,0.8572037625790798,19.240469555736176,1794.558,438.443
19.656289105344378,0.8337292294271984,18.82255987591718,1812.567,826.92
18.823759729193192,0.7385517026586452,18.085208026534545,1795.072,855.13
18.81145479027997,0.7357817843194638,18.075673005960507,1805.274,894.084
15.888975268780491,0.903621798707971,14.985353470072521,1789.617,984.883
20.122673318315254,0.8342037625790798,19.288469555736174,1821.203,339.253
19.147577187406554,0.737840777459745,18.40973640994681,1825.767,421.031
19.638673318315256,0.7992037625790797,18.839469555736176,1813.694,444.572
20.622848157191598,0.9415930075060484,19.681255149685548,1816.999,504.541
19.592765104877785,0.7968844085724791,18.795880696305307,1820.62,961.871
19.465577187406556,0.7708407774597449,18.69473640994681,1862.525,422.451
19.339721863030235,0.7498808757726838,18.589840987257553,1846.831,581.142
18.306018799614794,0.6949744973748858,17.611044302239907,1850.929,657.429
18.8163820513117,0.7360911519355873,18.080290899376113,1843.339,763.862
19.669010510353676,0.8243017363186348,18.84470877403504,1862.27,841.523
20.058577187406556,0.844840777459745,19.21373640994681,1877.5,425.382
19.216577187406557,0.768840777459745,18.447736409946813,1868.88,458.265
20.592577187406555,0.9448407774597448,19.64773640994681,1880.697,467.881
20.158041746999498,0.8676530567610674,19.29038869023843,1886.46,613.874
18.597382051311698,0.7370911519355872,17.86029089937611,1872.301,743.431
20.586134775958257,0.9240086519878894,19.662126123970367,1866.185,786.335
18.32507200536462,0.6936549813631392,17.631417024001482,1877.026,808.154
18.75113477595826,0.7420086519878897,18.00912612397037,1864.378,868.729
17.857765104877785,0.7038844085724791,17.153880696305308,1864.662,916.054
19.214482538063255,0.7554564981736235,18.459026039889633,1864.513,936.277
17.548022117232247,0.7249901298981842,16.823031987334062,1906.655,427.561
20.066013614282127,0.8579791223319858,19.20803449195014,1893.138,537.325
18.242018799614794,0.7039744973748858,17.538044302239907,1894.99,648.137
20.040263417332117,0.8613842994730393,19.17887911785908,1898.805,934.323
20.4287221230896,0.8832218613122351,19.545500261777363,1929.069,289.648
20.646022117232246,0.9509901298981841,19.695031987334062,1921.266,401.957
20.634022117232245,0.9559901298981841,19.678031987334062,1914.231,447.78
20.045721863030234,0.8588808757726838,19.18684098725755,1923.152,561.21
19.076531591567807,0.7508083158430956,18.325723275724712,1917.127,709.069
18.046362112794267,0.7034217670920507,17.342940345702218,1937.202,718.558
20.048721863030234,0.8448808757726838,19.20384098725755,1944.519,609.32
20.352106311245098,0.9006709663028364,19.45143534494226,1953.83,697.78
18.46636211279427,0.7204217670920507,17.745940345702216,1951.383,742.953
19.90175535487689,0.816550243229466,19.085205111647426,1959.554,777.057
19.846134775958262,0.8250086519878895,19.021126123970372,1941.808,821.175
20.729316181984455,0.9627364474619038,19.76657973452255,1959.461,814.041
20.595316181984455,0.9317364474619039,19.66357973452255,1957.788,851.465
19.60808447608944,0.8150045800843118,18.79307989600513,1965.891,256.968
19.8928182539983,0.8225848464315698,19.07023340756673,1980.479,312.68
20.552983557121344,0.9283109008098898,19.624672656311454,1967.863,462.539
19.666362112794268,0.8084217670920509,18.857940345702218,1983.09,754.314
18.78013477595826,0.7320086519878897,18.04812612397037,1976.802,851.419
18.167010510353677,0.6933017363186348,17.473708774035043,1970.04,950.791
20.348999232109513,0.9109643375399418,19.438034894569572,1987.745,955.93
20.69667050183845,0.9685346431462836,19.728135858692166,1998.353,230.748
17.714084476089443,0.7000045800843118,17.014079896005132,2008.992,257.971
18.93908447608944,0.7170045800843116,18.22207989600513,1992.764,298.544
20.678084476089442,0.9450045800843118,19.73307989600513,1997.653,295.449
20.783760203766043,0.9642354742478634,19.81952472951818,2006.504,462.654
20.05001361428213,0.873979122331986,19.176034491950144,1994.086,619.49
19.401013614282128,0.798979122331986,18.602034491950143,2008.286,633.889
