  R0000094     99.9999     99.9999     99.9999     99.9999     99.9999
  R0000095     99.9999     99.9999     99.9999     99.9999     99.9999
  R0000096     99.9999     99.9999     99.9999     99.9999     99.9999
  R0000097     99.9999     19.2510     19.4634     18.5366     17.8076
  R0000098     99.9999     99.9999     99.9999     18.4619     17.7351
  R0000099     99.9999     99.9999     99.9999     99.9999     99.9999
  R0000100     19.7253     18.8398     19.0205     18.1401     17.4268
  R0000101     99.9999     18.4221     18.5739     17.6401     16.9103
  R0000102     99.9999     99.9999     99.9999     18.0494     17.3417
  R0000103     19.6019     18.2811     18.3122     17.2014     16.3548
  R0000104     99.9999     99.9999     99.9999     99.9999     99.9999
  R0000105     99.9999     99.9999     99.9999     99.9999     99.9999
  R0000106     99.9999     99.9999     99.9999     99.9999     99.9999
  R0000107     99.9999     99.9999     99.9999     16.0474     15.2571
  R0000108     99.9999     99.9999     99.9999     99.9999     99.9999
  R0000109     99.9999     99.9999     99.9999     99.9999     99.9999
  R0000110     99.9999     99.9999     18.5552     17.6394     16.9065
  R0000111     20.3379     19.3811     19.5982     18.6685     17.9233
  R0000112     99.9999     99.9999     99.9999     18.6267     17.8975
  R0000113     99.9999     99.9999     99.9999     99.9999     99.9999
  R0000114     99.9999     99.9999     99.9999     99.9999     99.9999
  R0000115     20.3956     19.3860     19.6210     18.6385     17.8985
  R0000116     99.9999     99.9999     99.9999     99.9999     99.9999
  R0000117     99.9999     99.9999     99.9999     99.9999     99.9999
  R0000118     99.9999     99.9999     99.9999     15.4454     14.5182
  R0000119     19.3849     18.3069     18.4081     17.3981     16.6174
  R0000120     99.9999     18.2279     18.1020     16.9192     16.0400
  R0000121     99.9999     99.9999     99.9999     99.9999     99.9999
  R0000122     99.9999     99.9999     99.9999     99.9999     99.9999
  R0000123     20.0438     19.1322     19.3482     18.3919     17.6836
  R0000124     19.9853     19.1158     19.3099     18.4237     17.7200
  R0000125     99.9999     18.3701     18.4548     17.4388     16.6641
  R0000126     20.5282     19.5959     19.8221     18.8416     18.1045
  R0000127     99.9999     99.9999     99.9999     99.9999     99.9999
  R0000128     99.9999     99.9999     99.9999     99.9999     99.9999
  R0000129     99.9999     99.9999     99.9999     99.9999     99.9999
  R0000130     19.7851     18.9199     19.1082     18.2007     17.4872
  R0000131     99.9999     19.2505     19.3829     18.4844     17.7552
  R0000132     19.6801     18.1776     18.1768     16.9693     16.1037
  R0000133     99.9999     99.9999     99.9999     99.9999     99.9999
  R0000134     99.9999     99.9999     99.9999     99.9999     99.9999
  R0000135     99.9999     99.9999     99.9999     99.9999     99.9999
  R0000136     99.9999     99.9999     99.9999     99.9999     99.9999
  R0000137     19.6181     18.7469     18.9005     18.0258     17.3203
  R0000138     20.2356     19.3105     19.5316     18.5975     17.8720
  R0000139     20.3223     19.3256     19.5260     18.5738     17.8468
  R0000140     99.9999     99.9999     99.9999     99.9999     99.9999
  R0000141     99.9999     99.9999     99.9999     99.9999     99.9999
