,v,v_err,i,i_err,vi,vi_err,x,y
3,17.389,0.0017,16.575,0.0018,0.814,0.0025,1594.694,758.202
4,17.721,0.002,17.0,0.0022,0.721,0.003,1631.198,717.16
6,17.716,0.002,16.967,0.0021,0.749,0.0029,1626.267,819.132
7,19.098,0.0038,18.345,0.0041,0.753,0.0056,1655.048,731.833
8,18.973,0.0036,18.225,0.0038,0.748,0.0052,1654.575,844.867
9,17.974,0.0023,17.249,0.0024,0.725,0.0033,1677.174,579.123
10,19.437,0.0045,18.616,0.0046,0.821,0.0064,1679.349,585.81
11,17.629,0.001,16.891,0.005,0.738,0.0051,1677.089,779.982
18,19.196,0.025,18.371,0.019,0.825,0.0314,1749.633,603.715
19,15.827,0.031,14.853,0.074,0.974,0.0802,1752.657,764.286
20,18.835,0.019,18.076,0.01,0.759,0.0215,1739.244,796.886
22,19.38,0.006,18.565,0.009,0.815,0.0108,1762.62,920.387
24,18.668,0.008,17.908,0.007,0.76,0.0106,1783.815,707.491
25,17.779,0.0021,17.058,0.0022,0.721,0.0031,1804.045,340.144
28,18.939,0.006,18.162,0.006,0.777,0.0085,1795.072,855.13
29,18.932,0.009,18.156,0.011,0.776,0.0142,1805.274,894.084
30,16.01,0.0042,15.066,0.004,0.944,0.0058,1789.617,984.883
32,19.208,0.027,18.45,0.014,0.758,0.0304,1825.767,421.031
37,19.427,0.019,18.648,0.008,0.779,0.0206,1846.831,581.142
38,18.411,0.008,17.681,0.004,0.73,0.0089,1850.929,657.429
39,18.936,0.021,18.16,0.007,0.776,0.0221,1843.339,763.862
42,19.277,0.019,18.488,0.004,0.789,0.0194,1868.88,458.265
45,18.717,0.014,17.94,0.008,0.777,0.0161,1872.301,743.431
47,18.443,0.011,17.71,0.005,0.733,0.0121,1877.026,808.154
48,18.871,0.001,18.089,0.006,0.782,0.0061,1864.378,868.729
49,17.981,0.002,17.236,0.005,0.745,0.0054,1864.662,916.054
50,19.339,0.01,18.542,0.006,0.797,0.0117,1864.513,936.277
51,17.605,0.022,16.861,0.002,0.744,0.0221,1906.655,427.561
53,18.347,0.012,17.608,0.002,0.739,0.0122,1894.99,648.137
59,19.194,0.02,18.404,0.003,0.79,0.0202,1917.127,709.069
60,18.153,0.011,17.414,0.01,0.739,0.0149,1937.202,718.558
63,18.573,0.004,17.817,0.011,0.756,0.0117,1951.383,742.953
72,18.9,0.009,18.128,0.003,0.772,0.0095,1976.802,851.419
73,18.283,0.005,17.551,0.009,0.732,0.0103,1970.04,950.791
76,17.792,0.0021,17.066,0.0023,0.726,0.0031,2008.992,257.971
77,19.017,0.042,18.274,0.013,0.743,0.044,1992.764,298.544
82,18.742,0.011,17.974,0.006,0.768,0.0125,2011.869,716.121
83,18.836,0.016,18.073,0.009,0.763,0.0184,1990.637,883.145
84,19.206,0.006,18.399,0.011,0.807,0.0125,1992.493,864.59
87,18.662,0.018,17.928,0.014,0.734,0.0228,2014.842,559.506
88,18.041,0.002,17.291,0.009,0.75,0.0092,2032.687,695.432
89,19.057,0.014,18.289,0.005,0.768,0.0149,2036.17,753.879
92,17.977,0.008,17.257,0.015,0.72,0.017,2038.15,517.961
93,19.401,0.004,18.585,0.02,0.816,0.0204,2049.748,756.612
95,18.461,0.009,17.712,0.018,0.749,0.0201,2082.564,226.89
99,17.572,0.012,16.802,0.017,0.77,0.0208,2075.899,509.263
101,19.363,0.011,18.551,0.006,0.812,0.0125,2068.94,958.475
102,17.463,0.009,16.676,0.007,0.787,0.0114,2081.547,962.52
104,19.364,0.01,18.574,0.008,0.79,0.0128,2096.035,576.646
105,18.861,0.025,18.106,0.01,0.755,0.0269,2088.492,665.468
107,18.412,0.01,17.678,0.011,0.734,0.0149,2109.344,749.205
110,19.155,0.01,18.356,0.01,0.799,0.0141,2091.697,912.367
112,18.914,0.0035,18.171,0.012,0.743,0.0125,2122.183,412.138
113,17.26,0.063,16.447,0.023,0.813,0.0671,2132.989,769.659
114,18.484,0.032,17.837,0.068,0.647,0.0752,2132.592,767.586
115,19.159,0.005,18.382,0.01,0.777,0.0112,2113.914,788.157
119,18.617,0.018,17.85,0.014,0.767,0.0228,2115.714,981.605
120,18.506,0.007,17.739,0.006,0.767,0.0092,2121.617,966.942
121,18.575,0.003,17.823,0.0032,0.752,0.0044,2150.973,252.602
126,18.429,0.0028,17.681,0.003,0.748,0.0041,2187.559,313.166
127,17.562,0.005,16.798,0.013,0.764,0.0139,2182.511,363.311
130,18.707,0.021,17.98,0.029,0.727,0.0358,2184.145,485.279
131,18.556,0.007,17.829,0.015,0.727,0.0166,2192.381,590.849
132,17.263,0.02,16.433,0.012,0.83,0.0233,2201.632,624.43
134,18.685,0.0032,17.937,0.0034,0.748,0.0046,2222.494,241.434
135,17.535,0.014,16.757,0.023,0.778,0.0269,2226.851,318.158
136,18.021,0.012,17.292,0.004,0.729,0.0126,2221.567,946.852
137,17.136,0.007,16.27,0.007,0.866,0.0099,2260.283,460.68
139,16.367,0.0049,15.475,0.0049,0.892,0.0069,2253.734,580.046
140,19.093,0.013,18.321,0.014,0.772,0.0191,2254.111,696.253
142,17.455,0.0018,16.646,0.0019,0.809,0.0026,2270.763,313.76
143,18.895,0.009,18.109,0.019,0.786,0.021,2269.17,338.45
144,18.577,0.003,17.831,0.0032,0.746,0.0044,2265.688,434.977
145,18.35,0.012,17.625,0.006,0.725,0.0134,2283.997,470.541
147,19.272,0.008,18.485,0.015,0.787,0.017,2284.738,678.961
