,v,v_err,i,i_err,vi,vi_err,x,y
3032,18.538,0.012,17.776,0.006,0.762,0.0134,2666.897,3473.163
3033,19.009,0.002,18.267,0.007,0.742,0.0073,2685.103,3512.838
3034,19.354,0.01,18.571,0.007,0.783,0.0122,2683.99,3636.144
3035,18.202,0.002,17.468,0.004,0.734,0.0045,2681.893,3862.047
3036,18.128,0.007,17.438,0.004,0.69,0.0081,2663.202,3914.065
3037,17.906,0.014,17.189,0.005,0.717,0.0149,2675.248,3956.387
3038,18.614,0.011,17.89,0.004,0.724,0.0117,2679.149,3953.359
3039,18.759,0.005,18.041,0.002,0.718,0.0054,2698.273,3038.757
3040,19.111,0.002,18.341,0.023,0.77,0.0231,2688.662,3065.94
3041,19.047,0.008,18.309,0.003,0.738,0.0085,2706.243,3110.052
3042,18.553,0.011,17.851,0.006,0.702,0.0125,2708.311,3177.535
3043,18.512,0.006,17.799,0.004,0.713,0.0072,2701.086,3369.471
3044,18.703,0.003,17.975,0.007,0.728,0.0076,2708.232,3448.119
3045,19.289,0.011,18.526,0.002,0.763,0.0112,2712.094,3464.988
3046,16.994,0.0066,16.142,0.0066,0.852,0.0094,2709.633,3532.965
3047,18.601,0.012,17.881,0.008,0.72,0.0144,2712.86,3519.218
3048,16.733,0.0059,15.85,0.0058,0.883,0.0082,2691.261,3574.324
3049,19.081,0.006,18.336,0.004,0.745,0.0072,2703.092,3675.721
3050,17.651,0.012,16.938,0.002,0.713,0.0122,2694.32,3725.55
3051,18.416,0.002,17.715,0.004,0.701,0.0045,2695.18,3757.762
3052,18.04,0.005,17.358,0.004,0.682,0.0064,2705.41,3772.474
3053,19.154,0.006,18.405,0.007,0.749,0.0092,2702.329,3895.786
3054,18.585,0.009,17.826,0.006,0.759,0.0108,2711.063,3966.688
3055,17.953,0.002,17.264,0.001,0.689,0.0022,2736.304,3072.614
3056,18.526,0.002,17.783,0.003,0.743,0.0036,2730.289,3146.131
3057,17.687,0.004,16.995,0.004,0.692,0.0057,2713.96,3179.432
3058,19.398,0.009,18.64,0.006,0.758,0.0108,2725.568,3209.13
3059,17.146,0.007,16.319,0.0016,0.827,0.0072,2724.248,3352.523
3060,17.916,0.01,17.22,0.003,0.696,0.0104,2723.992,3368.138
3061,18.984,0.017,18.238,0.005,0.746,0.0177,2725.86,3412.037
3062,18.932,0.002,18.195,0.005,0.737,0.0054,2724.375,3465.143
3063,18.008,0.008,17.31,0.012,0.698,0.0144,2716.777,3502.181
3064,19.29,0.009,18.52,0.004,0.77,0.0098,2730.387,3507.593
3065,18.055,0.002,17.365,0.01,0.69,0.0102,2729.764,3549.801
3066,17.937,0.007,17.243,0.007,0.694,0.0099,2713.657,3963.54
3067,19.086,0.002,18.363,0.005,0.723,0.0054,2756.105,3105.202
3069,16.059,0.0043,15.191,0.0043,0.868,0.0061,2761.239,3174.897
3070,17.928,0.008,17.237,0.004,0.691,0.0089,2758.958,3278.398
3071,19.371,0.009,18.599,0.009,0.772,0.0127,2738.798,3375.917
3072,19.051,0.005,18.313,0.004,0.738,0.0064,2744.789,3367.455
3073,18.963,0.009,18.228,0.004,0.735,0.0098,2741.852,3436.208
3074,17.395,0.001,16.661,0.001,0.734,0.0014,2756.582,3738.519
3075,18.106,0.013,17.425,0.009,0.681,0.0158,2769.723,2997.199
3076,18.406,0.014,17.661,0.003,0.745,0.0143,2786.988,3021.415
3077,18.439,0.006,17.737,0.006,0.702,0.0085,2787.14,3247.567
3078,18.183,0.004,17.492,0.007,0.691,0.0081,2773.606,3290.804
3079,17.321,0.007,16.545,0.004,0.776,0.0081,2787.075,3320.258
3080,17.485,0.006,16.753,0.006,0.732,0.0085,2773.01,3472.431
3081,18.284,0.022,17.587,0.022,0.697,0.0311,2763.829,3504.271
3082,18.169,0.01,17.487,0.002,0.682,0.0102,2787.981,3607.908
3083,19.379,0.002,18.625,0.013,0.754,0.0132,2783.19,3675.159
3084,17.735,0.004,17.04,0.013,0.695,0.0136,2766.423,3780.381
3085,19.389,0.004,18.609,0.012,0.78,0.0126,2785.894,3763.872
3086,18.48,0.008,17.79,0.008,0.69,0.0113,2811.734,3070.428
3087,18.781,0.007,18.077,0.004,0.704,0.0081,2808.54,3151.319
3088,19.268,0.004,18.513,0.004,0.755,0.0057,2797.107,3217.995
3089,19.247,0.011,18.494,0.005,0.753,0.0121,2797.573,3252.506
3090,17.553,0.001,16.839,0.006,0.714,0.0061,2790.837,3582.78
3091,19.061,0.002,18.256,0.002,0.805,0.0028,2804.436,3857.827
3092,17.992,0.01,17.307,0.002,0.685,0.0102,2818.708,2992.282
3093,17.97,0.012,17.296,0.003,0.674,0.0124,2835.135,3004.221
3094,18.955,0.004,18.216,0.003,0.739,0.005,2814.477,3081.436
3095,18.478,0.004,17.783,0.01,0.695,0.0108,2834.063,3092.204
3096,19.044,0.001,18.327,0.004,0.717,0.0041,2823.145,3114.849
3097,19.044,0.005,18.319,0.005,0.725,0.0071,2816.175,3192.33
3098,18.231,0.004,17.543,0.008,0.688,0.0089,2836.242,3296.234
3099,19.113,0.006,18.36,0.004,0.753,0.0072,2828.699,3343.556
3100,17.717,0.008,17.017,0.004,0.7,0.0089,2815.764,3372.732
3101,19.174,0.009,18.434,0.008,0.74,0.012,2821.199,3395.026
3102,19.034,0.009,18.291,0.013,0.743,0.0158,2826.686,3407.164
3103,17.53,0.011,16.804,0.006,0.726,0.0125,2818.38,3561.847
3104,19.411,0.014,18.57,0.014,0.841,0.0198,2849.889,2994.31
3105,18.21,0.0026,17.486,0.0028,0.724,0.0038,2859.306,3021.126
3106,18.377,0.014,17.633,0.003,0.744,0.0143,2838.722,3048.4
3108,17.449,0.008,16.73,0.005,0.719,0.0094,2853.432,3164.772
