v,vi,i,x,y
19.35945738723593,0.7681208259729507,18.59133656126298,1612.378,717.167
17.28352219629209,0.7788088126530576,16.504713383639032,1594.694,758.202
17.616457387235933,0.6861208259729508,16.930336561262983,1631.198,717.16
17.61052219629209,0.7138088126530576,16.896713383639035,1626.267,819.132
18.99252219629209,0.7178088126530575,18.274713383639032,1655.048,731.833
18.857010510353675,0.7093017363186349,18.14770877403504,1654.575,844.867
17.892717973435783,0.6978813937699953,17.194836579665786,1677.174,579.123
19.35465544169517,0.7935268949822735,18.561128546712894,1679.349,585.81
17.52352219629209,0.7028088126530576,16.820713383639035,1677.089,779.982
19.112586831994474,0.7971703683685598,18.315416463625915,1749.633,603.715
15.72152219629209,0.9388088126530577,14.782713383639033,1752.657,764.286
18.72859157149931,0.7234983227653167,18.005093248733996,1739.244,796.886
19.26207200536462,0.7756549813631392,18.48641702400148,1762.62,920.387
18.56185414996591,0.7245859283817265,17.837268221584182,1783.815,707.491
17.710673318315255,0.6982037625790798,17.012469555736175,1804.045,340.144
18.823759729193192,0.7385517026586452,18.085208026534545,1795.072,855.13
18.81145479027997,0.7357817843194638,18.075673005960507,1805.274,894.084
15.888975268780491,0.903621798707971,14.985353470072521,1789.617,984.883
19.147577187406554,0.737840777459745,18.40973640994681,1825.767,421.031
19.339721863030235,0.7498808757726838,18.589840987257553,1846.831,581.142
18.306018799614794,0.6949744973748858,17.611044302239907,1850.929,657.429
18.8163820513117,0.7360911519355873,18.080290899376113,1843.339,763.862
19.216577187406557,0.768840777459745,18.447736409946813,1868.88,458.265
18.597382051311698,0.7370911519355872,17.86029089937611,1872.301,743.431
18.32507200536462,0.6936549813631392,17.631417024001482,1877.026,808.154
18.75113477595826,0.7420086519878897,18.00912612397037,1864.378,868.729
17.857765104877785,0.7038844085724791,17.153880696305308,1864.662,916.054
19.214482538063255,0.7554564981736235,18.459026039889633,1864.513,936.277
17.548022117232247,0.7249901298981842,16.823031987334062,1906.655,427.561
18.242018799614794,0.7039744973748858,17.538044302239907,1894.99,648.137
19.076531591567807,0.7508083158430956,18.325723275724712,1917.127,709.069
18.046362112794267,0.7034217670920507,17.342940345702218,1937.202,718.558
18.46636211279427,0.7204217670920507,17.745940345702216,1951.383,742.953
18.78013477595826,0.7320086519878897,18.04812612397037,1976.802,851.419
18.167010510353677,0.6933017363186348,17.473708774035043,1970.04,950.791
17.714084476089443,0.7000045800843118,17.014079896005132,2008.992,257.971
18.93908447608944,0.7170045800843116,18.22207989600513,1992.764,298.544
19.401013614282128,0.798979122331986,18.602034491950143,2008.286,633.889
18.644288366279184,0.7353998861621425,17.908888480117042,2011.869,716.121
18.72172299346196,0.724873082248997,17.996849911212962,1990.637,883.145
19.088316181984453,0.767736447461904,18.32057973452255,1992.493,864.59
18.581262131442585,0.7070629444440765,17.87419918699851,2014.842,559.506
17.94925876732982,0.7193918265943795,17.22986694073544,2032.687,695.432
18.9541063112451,0.7336709663028362,18.220435344942263,2036.17,753.879
17.90296529622485,0.695299361200755,17.207665935024096,2038.15,517.961
19.2981063112451,0.7816709663028363,18.516435344942263,2049.748,756.612
18.37839096416208,0.7214386557690101,17.65695230839307,2082.564,226.89
17.50106528907827,0.7463336302644257,16.754731658813842,2075.899,509.263
19.23842147440073,0.7704361251405079,18.467985349260225,2068.94,958.475
17.343227000376626,0.7470394213694135,16.59618757900721,2081.547,962.52
19.29212704175768,0.7660205972273689,18.526106444530313,2096.035,576.646
18.780237438708735,0.7280547060603357,18.052182732648397,2088.492,665.468
18.31163058277763,0.7005131540361146,17.611117428741515,2109.344,749.205
19.038945988681725,0.760280209569254,18.278665779112472,2091.697,912.367
