v,v_err,i,i_err,vi,vi_err,x,y
19.697,0.005,18.903,0.0052,0.794,0.0073,1548.987,970.389
19.464,0.0045,18.661,0.0047,0.803,0.0065,1612.378,717.167
17.389,0.0017,16.575,0.0018,0.814,0.0025,1594.694,758.202
17.721,0.002,17.0,0.0022,0.721,0.003,1631.198,717.16
19.601,0.0048,18.78,0.005,0.821,0.0069,1634.276,730.054
17.716,0.002,16.967,0.0021,0.749,0.0029,1626.267,819.132
19.098,0.0038,18.345,0.0041,0.753,0.0056,1655.048,731.833
18.973,0.0036,18.225,0.0038,0.748,0.0052,1654.575,844.867
17.974,0.0023,17.249,0.0024,0.725,0.0033,1677.174,579.123
19.437,0.0045,18.616,0.0046,0.821,0.0064,1679.349,585.81
17.629,0.001,16.891,0.005,0.738,0.0051,1677.089,779.982
19.804,0.0053,18.987,0.0055,0.817,0.0076,1729.333,422.922
19.196,0.025,18.371,0.019,0.825,0.0314,1749.633,603.715
18.835,0.019,18.076,0.01,0.759,0.0215,1739.244,796.886
19.38,0.006,18.565,0.009,0.815,0.0108,1762.62,920.387
18.668,0.008,17.908,0.007,0.76,0.0106,1783.815,707.491
17.779,0.0021,17.058,0.0022,0.721,0.0031,1804.045,340.144
19.541,0.01,18.666,0.011,0.875,0.0149,1810.637,652.834
19.768,0.018,18.897,0.018,0.871,0.0255,1812.567,826.92
18.939,0.006,18.162,0.006,0.777,0.0085,1795.072,855.13
18.932,0.009,18.156,0.011,0.776,0.0142,1805.274,894.084
16.01,0.0042,15.066,0.004,0.944,0.0058,1789.617,984.883
19.208,0.027,18.45,0.014,0.758,0.0304,1825.767,421.031
19.707,0.03,18.885,0.009,0.822,0.0313,1813.694,444.572
19.716,0.014,18.878,0.006,0.838,0.0152,1820.62,961.871
19.526,0.0047,18.735,0.015,0.791,0.0157,1862.525,422.451
19.427,0.019,18.648,0.008,0.779,0.0206,1846.831,581.142
18.411,0.008,17.681,0.004,0.73,0.0089,1850.929,657.429
18.936,0.021,18.16,0.007,0.776,0.0221,1843.339,763.862
19.785,0.008,18.922,0.004,0.863,0.0089,1862.27,841.523
19.277,0.019,18.488,0.004,0.789,0.0194,1868.88,458.265
18.717,0.014,17.94,0.008,0.777,0.0161,1872.301,743.431
18.443,0.011,17.71,0.005,0.733,0.0121,1877.026,808.154
18.871,0.001,18.089,0.006,0.782,0.0061,1864.378,868.729
17.981,0.002,17.236,0.005,0.745,0.0054,1864.662,916.054
19.339,0.01,18.542,0.006,0.797,0.0117,1864.513,936.277
17.605,0.022,16.861,0.002,0.744,0.0221,1906.655,427.561
18.347,0.012,17.608,0.002,0.739,0.0122,1894.99,648.137
19.194,0.02,18.404,0.003,0.79,0.0202,1917.127,709.069
18.153,0.011,17.414,0.01,0.739,0.0149,1937.202,718.558
18.573,0.004,17.817,0.011,0.756,0.0117,1951.383,742.953
19.686,0.005,18.845,0.0051,0.841,0.0072,1965.891,256.968
19.773,0.009,18.929,0.01,0.844,0.0135,1983.09,754.314
18.9,0.009,18.128,0.003,0.772,0.0095,1976.802,851.419
18.283,0.005,17.551,0.009,0.732,0.0103,1970.04,950.791
17.792,0.0021,17.066,0.0023,0.726,0.0031,2008.992,257.971
19.485,0.008,18.658,0.014,0.827,0.0161,2008.286,633.889
18.742,0.011,17.974,0.006,0.768,0.0125,2011.869,716.121
18.836,0.016,18.073,0.009,0.763,0.0184,1990.637,883.145
19.206,0.006,18.399,0.011,0.807,0.0125,1992.493,864.59
18.662,0.018,17.928,0.014,0.734,0.0228,2014.842,559.506
18.041,0.002,17.291,0.009,0.75,0.0092,2032.687,695.432
19.057,0.014,18.289,0.005,0.768,0.0149,2036.17,753.879
17.977,0.008,17.257,0.015,0.72,0.017,2038.15,517.961
19.401,0.004,18.585,0.02,0.816,0.0204,2049.748,756.612
18.461,0.009,17.712,0.018,0.749,0.0201,2082.564,226.89
17.572,0.012,16.802,0.017,0.77,0.0208,2075.899,509.263
19.363,0.011,18.551,0.006,0.812,0.0125,2068.94,958.475
17.463,0.009,16.676,0.007,0.787,0.0114,2081.547,962.52
19.364,0.01,18.574,0.008,0.79,0.0128,2096.035,576.646
18.861,0.025,18.106,0.01,0.755,0.0269,2088.492,665.468
18.412,0.01,17.678,0.011,0.734,0.0149,2109.344,749.205
19.666,0.007,18.82,0.011,0.846,0.013,2094.643,792.952
19.892,0.015,19.037,0.012,0.855,0.0192,2091.381,877.069
19.155,0.01,18.356,0.01,0.799,0.0141,2091.697,912.367
18.914,0.0035,18.171,0.012,0.743,0.0125,2122.183,412.138
19.159,0.005,18.382,0.01,0.777,0.0112,2113.914,788.157
19.933,0.018,19.08,0.008,0.853,0.0197,2122.385,813.509
19.492,0.011,18.674,0.011,0.818,0.0156,2123.162,948.589
19.894,0.012,19.016,0.01,0.878,0.0156,2113.462,970.967
18.617,0.018,17.85,0.014,0.767,0.0228,2115.714,981.605
18.506,0.007,17.739,0.006,0.767,0.0092,2121.617,966.942
18.575,0.003,17.823,0.0032,0.752,0.0044,2150.973,252.602
19.949,0.003,19.089,0.019,0.86,0.0192,2156.782,447.393
19.937,0.014,19.08,0.015,0.857,0.0205,2144.316,720.943
19.53,0.0047,18.692,0.0048,0.838,0.0067,2183.035,229.082
18.429,0.0028,17.681,0.003,0.748,0.0041,2187.559,313.166
17.562,0.005,16.798,0.013,0.764,0.0139,2182.511,363.311
19.686,0.011,18.862,0.009,0.824,0.0142,2178.469,443.926
18.707,0.021,17.98,0.029,0.727,0.0358,2184.145,485.279
18.556,0.007,17.829,0.015,0.727,0.0166,2192.381,590.849
17.263,0.02,16.433,0.012,0.83,0.0233,2201.632,624.43
19.829,0.018,18.971,0.016,0.858,0.0241,2189.018,743.409
18.685,0.0032,17.937,0.0034,0.748,0.0046,2222.494,241.434
17.535,0.014,16.757,0.023,0.778,0.0269,2226.851,318.158
18.021,0.012,17.292,0.004,0.729,0.0126,2221.567,946.852
17.136,0.007,16.27,0.007,0.866,0.0099,2260.283,460.68
16.367,0.0049,15.475,0.0049,0.892,0.0069,2253.734,580.046
19.093,0.013,18.321,0.014,0.772,0.0191,2254.111,696.253
17.455,0.0018,16.646,0.0019,0.809,0.0026,2270.763,313.76
18.895,0.009,18.109,0.019,0.786,0.021,2269.17,338.45
18.577,0.003,17.831,0.0032,0.746,0.0044,2265.688,434.977
18.35,0.012,17.625,0.006,0.725,0.0134,2283.997,470.541
19.272,0.008,18.485,0.015,0.787,0.017,2284.738,678.961
18.015,0.007,17.282,0.01,0.733,0.0122,2275.772,726.49
17.672,0.005,16.902,0.01,0.77,0.0112,2276.206,922.967
18.83,0.017,18.09,0.003,0.74,0.0173,2311.365,568.934
18.507,0.0029,17.748,0.0031,0.759,0.0043,2316.73,323.953
19.249,0.016,18.43,0.025,0.819,0.0297,2336.613,478.434
18.934,0.022,18.172,0.009,0.762,0.0238,2331.711,530.673
17.43,0.011,16.656,0.013,0.774,0.017,2335.864,556.978
18.999,0.022,18.25,0.012,0.749,0.0251,2316.85,573.275
19.132,0.017,18.366,0.01,0.766,0.0197,2337.486,589.146
19.699,0.015,18.864,0.01,0.835,0.018,2325.188,845.239
17.684,0.002,16.909,0.0021,0.775,0.0029,2347.101,311.855
19.912,0.013,19.022,0.023,0.89,0.0264,2354.233,414.715
18.562,0.016,17.804,0.027,0.758,0.0314,2350.362,946.864
19.134,0.005,18.352,0.007,0.782,0.0086,2344.402,965.784
19.874,0.007,19.024,0.007,0.85,0.0099,2357.416,975.938
18.115,0.018,17.393,0.007,0.722,0.0193,2376.741,508.579
18.773,0.016,18.001,0.024,0.772,0.0288,2403.071,388.258
17.761,0.0,17.008,0.023,0.753,0.023,2404.081,408.007
19.516,0.011,18.701,0.006,0.815,0.0125,2411.439,414.651
17.983,0.014,17.25,0.01,0.733,0.0172,2391.88,773.525
19.726,0.008,18.888,0.016,0.838,0.0179,2406.606,829.811
19.366,0.021,18.572,0.012,0.794,0.0242,2410.567,822.325
19.445,0.004,18.63,0.017,0.815,0.0175,2423.307,415.122
19.911,0.023,19.06,0.005,0.851,0.0235,2413.744,673.624
19.458,0.0045,18.628,0.0047,0.83,0.0065,2448.816,342.953
18.813,0.0034,18.002,0.0035,0.811,0.0049,2449.454,380.991
19.088,0.023,18.298,0.022,0.79,0.0318,2449.702,592.974
18.181,0.003,17.458,0.002,0.723,0.0036,2453.667,599.301
17.341,0.0019,16.482,0.003,0.859,0.0036,2462.913,747.13
18.32,0.013,17.544,0.008,0.776,0.0153,2453.012,809.596
18.843,0.013,18.091,0.009,0.752,0.0158,2452.975,872.287
17.975,0.013,17.25,0.008,0.725,0.0153,2507.775,761.049
19.777,0.016,18.926,0.004,0.851,0.0165,2500.258,976.638
17.994,0.0023,17.248,0.0025,0.746,0.0034,2522.101,415.683
17.668,0.015,16.914,0.012,0.754,0.0192,2526.085,446.662
18.622,0.01,17.855,0.003,0.767,0.0104,2534.964,538.205
19.194,0.019,18.417,0.014,0.777,0.0236,2518.272,589.248
19.726,0.013,18.891,0.004,0.835,0.0136,2523.141,707.562
17.882,0.012,17.158,0.006,0.724,0.0134,2528.635,820.632
19.224,0.013,18.439,0.008,0.785,0.0153,2518.412,848.214
17.97,0.011,17.221,0.02,0.749,0.0228,2554.745,481.592
19.47,0.016,18.654,0.004,0.816,0.0165,2557.232,527.31
19.835,0.006,18.976,0.006,0.859,0.0085,2560.001,540.064
15.013,0.0027,14.022,0.0025,0.991,0.0037,2542.976,984.06
17.941,0.0023,17.226,0.0024,0.715,0.0033,2581.269,392.611
19.16,0.016,18.379,0.007,0.781,0.0175,2581.576,685.306
18.137,0.009,17.403,0.007,0.734,0.0114,2565.127,730.241
19.941,0.017,19.065,0.007,0.876,0.0184,2575.022,945.019
18.712,0.021,17.968,0.006,0.744,0.0218,2579.009,952.447
18.405,0.014,17.669,0.004,0.736,0.0146,2605.609,730.097
17.686,0.017,16.931,0.006,0.755,0.018,2593.761,755.941
19.631,0.015,18.79,0.007,0.841,0.0166,2589.021,927.117
19.475,0.01,18.657,0.005,0.818,0.0112,2645.532,794.391
18.205,0.01,17.446,0.004,0.759,0.0108,2645.574,979.179
18.05,0.0024,17.323,0.0026,0.727,0.0035,2665.67,474.938
18.067,0.0024,17.307,0.008,0.76,0.0084,2671.757,549.148
17.882,0.01,17.145,0.005,0.737,0.0112,2666.841,813.917
16.877,0.0063,15.995,0.0062,0.882,0.0089,2680.769,844.761
19.244,0.008,18.45,0.012,0.794,0.0144,2725.22,790.365
19.662,0.005,18.799,0.001,0.863,0.0051,2745.607,648.278
19.035,0.017,18.234,0.014,0.801,0.022,2773.452,617.979
19.829,0.004,18.949,0.005,0.88,0.0064,2786.962,724.939
18.5,0.0029,17.72,0.0031,0.78,0.0043,2812.942,530.763
19.587,0.0049,18.735,0.0049,0.852,0.0069,2795.217,564.844
18.974,0.018,18.187,0.005,0.787,0.0187,2812.703,778.223
19.663,0.02,18.827,0.009,0.836,0.0219,2825.044,641.034
19.937,0.01,19.051,0.017,0.886,0.0197,2828.645,797.753
18.112,0.0025,17.374,0.0026,0.738,0.0036,2846.833,522.207
18.77,0.024,17.976,0.001,0.794,0.024,2842.67,637.223
17.442,0.018,16.626,0.007,0.816,0.0193,2851.964,625.099
18.837,0.015,18.049,0.003,0.788,0.0153,2866.379,714.012
18.664,0.004,17.907,0.011,0.757,0.0117,2881.536,753.75
19.687,0.016,18.861,0.006,0.826,0.0171,2870.499,861.954
17.975,0.007,17.244,0.014,0.731,0.0157,2880.714,909.452
19.822,0.004,18.982,0.011,0.84,0.0117,2868.922,917.389
18.05,0.0024,17.312,0.0026,0.738,0.0035,2892.981,576.546
18.347,0.003,17.603,0.005,0.744,0.0058,2912.231,665.351
18.488,0.02,17.736,0.004,0.752,0.0204,2908.093,817.377
17.882,0.018,17.162,0.009,0.72,0.0201,2905.936,934.515
18.674,0.003,17.923,0.017,0.751,0.0173,2909.002,941.99
19.385,0.0044,18.555,0.0045,0.83,0.0063,2917.495,618.908
17.516,0.002,16.863,0.003,0.653,0.0036,2935.18,735.588
19.625,0.014,18.785,0.013,0.84,0.0191,2944.163,827.643
18.95,0.012,18.169,0.006,0.781,0.0134,2965.825,743.083
19.154,0.021,18.368,0.014,0.786,0.0252,2993.824,802.197
19.191,0.001,18.431,0.016,0.76,0.016,2997.552,878.877
17.363,0.007,16.544,0.003,0.819,0.0076,3046.552,807.1
17.999,0.018,17.277,0.006,0.722,0.019,3042.843,875.772
15.479,0.0033,14.536,0.0032,0.943,0.0046,3048.682,952.344
19.402,0.0045,18.608,0.0047,0.794,0.0065,3070.477,702.611
19.674,0.008,18.835,0.015,0.839,0.017,3082.939,807.024
19.272,0.007,18.489,0.007,0.783,0.0099,3082.981,923.43
18.518,0.007,17.775,0.011,0.743,0.013,3075.483,984.087
19.939,0.0057,19.043,0.0057,0.896,0.0081,3106.875,646.112
19.886,0.011,19.036,0.003,0.85,0.0114,3098.299,881.179
18.888,0.015,18.131,0.01,0.757,0.018,3107.236,874.928
18.074,0.005,17.353,0.008,0.721,0.0094,3100.442,901.474
18.48,0.004,17.74,0.01,0.74,0.0108,3128.079,867.303
16.948,0.0065,16.057,0.0065,0.891,0.0092,3137.307,957.467
18.694,0.0032,17.925,0.0034,0.769,0.0047,3178.805,705.021
18.987,0.004,18.142,0.009,0.845,0.0098,3171.329,899.315
17.659,0.007,16.918,0.012,0.741,0.0139,3170.075,934.831
19.195,0.0041,18.392,0.0042,0.803,0.0059,3194.597,730.476
19.692,0.011,18.845,0.008,0.847,0.0136,3192.811,899.834
16.996,0.0067,16.119,0.0067,0.877,0.0095,3198.875,983.513
19.251,0.006,18.462,0.018,0.789,0.019,3223.249,857.15
19.29,0.011,18.483,0.008,0.807,0.0136,3241.838,969.988
18.916,0.012,18.149,0.012,0.767,0.017,3250.591,986.488
19.424,0.0045,18.611,0.0047,0.813,0.0065,3276.232,796.733
17.408,0.012,16.622,0.004,0.786,0.0126,3265.431,952.611
19.862,0.016,19.017,0.009,0.845,0.0184,3266.544,977.044
19.489,0.016,18.681,0.0,0.808,0.016,3285.529,974.148
17.751,0.0021,17.023,0.0023,0.728,0.0031,3310.923,790.864
16.051,0.0043,15.253,0.0045,0.798,0.0062,3306.819,921.276
19.856,0.014,19.005,0.011,0.851,0.0178,3301.15,952.035
19.229,0.0042,18.441,0.0043,0.788,0.006,3331.435,760.27
17.989,0.0023,17.268,0.0025,0.721,0.0034,3318.615,790.897
18.826,0.0035,18.059,0.0036,0.767,0.005,3347.738,827.801
18.673,0.001,17.915,0.007,0.758,0.0071,3353.379,937.946
17.635,0.008,16.895,0.001,0.74,0.0081,3370.084,887.928
18.64,0.013,17.892,0.004,0.748,0.0136,3380.562,946.834
18.2,0.017,17.482,0.011,0.718,0.0202,3369.195,981.522
18.534,0.003,17.791,0.0032,0.743,0.0044,3411.839,853.311
17.207,0.0074,16.336,0.0016,0.871,0.0076,3416.005,904.53
19.766,0.0053,18.913,0.0054,0.853,0.0076,3472.345,883.593
19.189,0.007,18.418,0.002,0.771,0.0073,3514.683,970.269
18.977,0.008,18.226,0.002,0.751,0.0082,3530.231,970.653
19.332,0.0044,18.532,0.0045,0.8,0.0063,3547.615,932.638
18.422,0.003,17.704,0.019,0.718,0.0192,3551.785,968.14
18.819,0.0035,18.08,0.0037,0.739,0.0051,3709.216,973.382
18.372,0.0028,17.662,0.003,0.71,0.0041,3720.663,967.062
19.576,0.0047,18.73,0.0048,0.846,0.0067,1177.191,1782.447
17.058,0.0015,16.14,0.0015,0.918,0.0021,1200.61,1713.974
19.098,0.0038,18.28,0.0039,0.818,0.0054,1196.449,1871.791
19.538,0.0046,18.712,0.0048,0.826,0.0066,1210.969,1869.844
19.037,0.021,18.255,0.015,0.782,0.0258,1198.385,1918.701
18.917,0.0035,18.145,0.0037,0.772,0.0051,1216.71,1668.26
18.019,0.0023,17.272,0.0024,0.747,0.0034,1215.511,1729.39
19.592,0.0048,18.776,0.0049,0.816,0.0068,1217.183,1750.172
19.848,0.0054,18.967,0.0053,0.881,0.0076,1216.75,1760.142
18.436,0.022,17.679,0.012,0.757,0.0251,1228.649,1904.552
18.742,0.0032,17.973,0.0034,0.769,0.0047,1249.779,1604.521
19.787,0.0052,18.922,0.0052,0.865,0.0074,1244.659,1678.144
19.474,0.0045,18.664,0.0047,0.81,0.0065,1244.836,1683.84
19.495,0.028,18.669,0.03,0.826,0.041,1243.428,1810.262
19.059,0.009,18.285,0.009,0.774,0.0127,1246.334,1931.878
19.252,0.017,18.46,0.001,0.792,0.017,1247.084,1939.01
18.873,0.0034,18.104,0.0036,0.769,0.005,1276.701,1537.056
18.581,0.033,17.814,0.014,0.767,0.0358,1305.443,1662.923
18.959,0.013,18.193,0.022,0.766,0.0256,1296.338,1737.163
18.674,0.018,17.895,0.017,0.779,0.0248,1309.126,1720.276
17.992,0.023,17.214,0.022,0.778,0.0318,1331.001,1601.312
19.747,0.017,18.917,0.021,0.83,0.027,1319.185,1650.838
18.491,0.001,17.732,0.012,0.759,0.012,1330.678,1692.384
18.621,0.023,17.839,0.017,0.782,0.0286,1334.239,1718.177
19.942,0.0056,19.085,0.0057,0.857,0.008,1341.384,1444.902
