,v,v_err,i,i_err,vi,vi_err,x,y
0,19.606,0.0042,19.094,0.005,0.5152857735968174,0.0066,2392.117,986.882
1,19.586,0.0042,19.088,0.005,0.4999491315522664,0.0065,2418.307,954.544
2,19.757,0.0045,19.253,0.0054,0.5061339990821871,0.007,2473.291,948.127
3,18.953,0.0031,18.493,0.0038,0.46245589229416406,0.0049,2483.855,971.416
4,18.028,0.002,17.539,0.0024,0.4914558922941641,0.0032,2512.499,917.08
5,19.097,0.0033,18.64,0.0041,0.45945589229416406,0.0053,2510.124,957.915
7,19.385,0.0038,18.9,0.0046,0.4874558922941641,0.006,2528.935,969.355
8,18.705,0.0028,18.253,0.0034,0.4536717819004692,0.0044,2544.176,970.53
9,17.587,0.0017,16.974,0.0085,0.6137340364715167,0.0087,2585.119,894.595
10,19.965,0.007,19.43,0.002,0.5352134958928605,0.0073,2605.801,979.017
12,19.634,0.0043,19.142,0.0051,0.4919344881047352,0.0067,2695.752,837.594
16,19.287,0.002,18.795,0.006,0.4908250433345536,0.0063,2781.373,958.007
19,18.729,0.005,18.269,0.006,0.45882504333455365,0.0078,2810.808,962.323
25,19.723,0.0,19.211,0.014,0.5113642343999276,0.014,2886.514,957.444
28,17.368,0.0067,16.754,0.0017,0.6162666445273041,0.0069,2921.258,832.604
29,19.621,0.0042,19.113,0.005,0.5094997900033922,0.0065,2980.88,792.507
31,19.698,0.005,19.192,0.014,0.5071923155866893,0.0149,3003.589,940.597
33,19.007,0.01,18.545,0.002,0.4639624332270228,0.0102,3032.069,787.915
34,19.178,0.002,18.707,0.022,0.4724997900033921,0.0221,3022.381,840.914
36,18.778,0.011,18.332,0.017,0.44893951595494186,0.0202,3053.621,840.155
42,19.803,0.006,19.287,0.012,0.518550401554599,0.0134,3083.564,961.149
44,18.737,0.001,18.285,0.009,0.45493951595494186,0.0091,3110.875,751.12
47,19.958,0.007,19.441,0.018,0.5199395159549418,0.0193,3125.672,864.43
48,19.618,0.008,19.114,0.007,0.5069395159549418,0.0106,3125.866,933.444
49,19.287,0.0036,18.812,0.0043,0.47710176995185566,0.0056,3146.198,685.017
50,19.285,0.0036,18.804,0.018,0.4833855269791506,0.0184,3145.084,752.115
54,18.571,0.005,18.124,0.005,0.44993951595494186,0.0071,3162.053,924.56
55,18.888,0.008,18.428,0.001,0.46293951595494187,0.0081,3162.559,936.295
56,19.879,0.012,19.355,0.01,0.5270063146107167,0.0156,3138.192,952.055
64,18.369,0.005,17.923,0.004,0.44838552697915063,0.0064,3212.581,935.137
66,19.076,0.003,18.589,0.06,0.4896897382794319,0.0601,3219.958,864.36
69,18.38,0.0024,17.94,0.0029,0.4427697011765882,0.0037,3250.866,653.25
70,19.962,0.0,19.439,0.015,0.5257697011765882,0.015,3239.301,724.011
76,19.913,0.009,19.393,0.008,0.5220542667746723,0.012,3276.127,858.986
