,v,v_err,i,i_err,vi,vi_err,x,y
0,19.606,0.0042,19.094,0.005,0.512,0.0066,2392.117,986.882
1,19.586,0.0042,19.088,0.005,0.498,0.0065,2418.307,954.544
2,19.757,0.0045,19.253,0.0054,0.504,0.007,2473.291,948.127
3,18.953,0.0031,18.493,0.0038,0.46,0.0049,2483.855,971.416
4,18.028,0.002,17.539,0.0024,0.489,0.0032,2512.499,917.08
5,19.097,0.0033,18.64,0.0041,0.457,0.0053,2510.124,957.915
7,19.385,0.0038,18.9,0.0046,0.485,0.006,2528.935,969.355
8,18.705,0.0028,18.253,0.0034,0.452,0.0044,2544.176,970.53
9,17.587,0.0017,16.974,0.0085,0.613,0.0087,2585.119,894.595
10,19.965,0.007,19.43,0.002,0.535,0.0073,2605.801,979.017
12,19.634,0.0043,19.142,0.0051,0.492,0.0067,2695.752,837.594
16,19.287,0.002,18.795,0.006,0.492,0.0063,2781.373,958.007
19,18.729,0.005,18.269,0.006,0.46,0.0078,2810.808,962.323
25,19.723,0.0,19.211,0.014,0.512,0.014,2886.514,957.444
28,17.368,0.0067,16.754,0.0017,0.614,0.0069,2921.258,832.604
29,19.621,0.0042,19.113,0.005,0.508,0.0065,2980.88,792.507
31,19.698,0.005,19.192,0.014,0.506,0.0149,3003.589,940.597
33,19.007,0.01,18.545,0.002,0.462,0.0102,3032.069,787.915
34,19.178,0.002,18.707,0.022,0.471,0.0221,3022.381,840.914
36,18.778,0.011,18.332,0.017,0.446,0.0202,3053.621,840.155
42,19.803,0.006,19.287,0.012,0.516,0.0134,3083.564,961.149
44,18.737,0.001,18.285,0.009,0.452,0.0091,3110.875,751.12
47,19.958,0.007,19.441,0.018,0.517,0.0193,3125.672,864.43
48,19.618,0.008,19.114,0.007,0.504,0.0106,3125.866,933.444
49,19.287,0.0036,18.812,0.0043,0.475,0.0056,3146.198,685.017
50,19.285,0.0036,18.804,0.018,0.481,0.0184,3145.084,752.115
54,18.571,0.005,18.124,0.005,0.447,0.0071,3162.053,924.56
55,18.888,0.008,18.428,0.001,0.46,0.0081,3162.559,936.295
56,19.879,0.012,19.355,0.01,0.524,0.0156,3138.192,952.055
64,18.369,0.005,17.923,0.004,0.446,0.0064,3212.581,935.137
66,19.076,0.003,18.589,0.06,0.487,0.0601,3219.958,864.36
69,18.38,0.0024,17.94,0.0029,0.44,0.0037,3250.866,653.25
70,19.962,0.0,19.439,0.015,0.523,0.015,3239.301,724.011
76,19.913,0.009,19.393,0.008,0.52,0.012,3276.127,858.986
77,19.811,0.0046,19.291,0.0054,0.52,0.0071,3303.078,620.544
78,19.346,0.0037,18.865,0.0044,0.481,0.0058,3306.533,636.99
79,19.298,0.009,18.826,0.006,0.472,0.0108,3346.082,834.433
80,19.93,0.007,19.402,0.005,0.528,0.0086,3347.32,825.137
87,19.535,0.013,19.047,0.002,0.488,0.0132,3393.553,971.088
94,18.808,0.005,18.335,0.01,0.473,0.0112,3461.239,913.813
97,19.311,0.003,18.835,0.005,0.476,0.0058,3468.661,968.285
98,19.677,0.01,19.171,0.001,0.506,0.01,3486.293,981.935
99,17.498,0.0016,16.878,0.0018,0.62,0.0024,3497.828,536.91
101,18.595,0.003,18.145,0.007,0.45,0.0076,3506.575,743.416
104,18.997,0.008,18.541,0.006,0.456,0.01,3522.77,779.12
107,19.178,0.0034,18.698,0.0041,0.48,0.0053,3548.154,498.111
108,19.857,0.021,19.332,0.002,0.525,0.0211,3545.56,638.754
109,16.07,0.0036,15.392,0.004,0.678,0.0054,3560.779,897.903
111,19.968,0.011,19.43,0.008,0.538,0.0136,3547.444,894.806
112,19.524,0.004,19.044,0.0048,0.48,0.0062,3567.061,471.78
113,19.348,0.0037,18.863,0.0044,0.485,0.0057,3582.089,511.371
114,18.889,0.013,18.432,0.009,0.457,0.0158,3579.333,590.128
115,19.703,0.008,19.196,0.01,0.507,0.0128,3575.867,740.122
118,19.304,0.005,18.823,0.004,0.481,0.0064,3580.649,863.297
123,19.883,0.013,19.358,0.004,0.525,0.0136,3609.181,781.057
124,19.651,0.013,19.15,0.005,0.501,0.0139,3605.838,805.391
126,19.961,0.004,19.428,0.014,0.533,0.0146,3634.927,770.68
127,19.383,0.005,18.902,0.009,0.481,0.0103,3635.274,930.619
130,19.024,0.001,18.564,0.006,0.46,0.0061,3652.44,560.046
136,18.749,0.006,18.303,0.005,0.446,0.0078,3707.459,677.181
137,19.464,0.005,18.977,0.005,0.487,0.0071,3692.279,758.556
138,18.74,0.015,18.29,0.008,0.45,0.017,3722.651,493.323
139,18.765,0.008,18.312,0.01,0.453,0.0128,3720.767,598.948
140,19.409,0.0038,18.926,0.0045,0.483,0.0059,3761.367,412.645
151,17.815,0.01,17.269,0.003,0.546,0.0104,3800.342,812.795
156,19.48,0.018,18.988,0.01,0.492,0.0206,3817.259,751.405
157,19.376,0.011,18.887,0.001,0.489,0.011,3814.586,962.51
164,19.585,0.01,19.077,0.008,0.508,0.0128,3848.514,956.526
181,19.954,0.007,19.418,0.004,0.536,0.0081,3943.779,908.198
183,19.408,0.0037,18.939,0.0045,0.469,0.0059,3977.539,348.091
187,18.584,0.009,18.207,0.005,0.377,0.0103,3978.367,729.66
190,19.934,0.016,19.381,0.028,0.553,0.0322,4015.955,475.392
192,18.811,0.01,18.362,0.007,0.449,0.0122,4017.758,824.937
193,19.112,0.008,18.641,0.004,0.471,0.0089,4028.134,943.257
194,19.934,0.0048,19.384,0.0056,0.55,0.0073,4055.521,306.862
196,17.257,0.0062,16.626,0.0069,0.631,0.0093,4052.579,491.703
202,18.671,0.009,18.227,0.016,0.444,0.0184,4078.549,455.019
207,19.564,0.01,19.072,0.007,0.492,0.0122,4084.633,821.913
208,18.542,0.0025,18.112,0.0031,0.43,0.004,4094.762,313.016
216,18.512,0.006,18.062,0.004,0.45,0.0072,4149.76,866.381
219,19.837,0.013,19.322,0.009,0.515,0.0158,4186.572,510.219
220,18.952,0.02,18.489,0.016,0.463,0.0256,4186.48,584.728
222,18.724,0.01,18.27,0.002,0.454,0.0102,4177.82,794.05
223,18.147,0.012,17.674,0.005,0.473,0.013,4185.671,851.912
225,19.974,0.025,19.431,0.009,0.543,0.0266,4227.213,549.18
227,19.505,0.016,19.018,0.013,0.487,0.0206,4235.974,738.863
230,19.208,0.013,18.736,0.008,0.472,0.0153,4246.481,783.842
231,18.102,0.02,17.634,0.01,0.468,0.0224,4283.094,497.031
235,19.421,0.005,18.94,0.008,0.481,0.0094,4273.136,949.206
236,17.744,0.022,17.191,0.01,0.553,0.0242,4299.388,431.824
237,16.074,0.0036,15.407,0.0039,0.667,0.0053,4290.463,861.585
243,18.317,0.021,17.868,0.019,0.449,0.0283,4341.062,486.034
250,18.844,0.017,18.384,0.005,0.46,0.0177,4430.478,981.722
258,18.874,0.032,18.372,0.069,0.502,0.0761,4532.59,961.352
261,19.114,0.0032,18.662,0.004,0.452,0.0051,4624.277,985.898
262,18.709,0.0028,18.235,0.0034,0.474,0.0044,320.836,1800.781
271,17.438,0.007,16.795,0.0078,0.643,0.0105,484.002,1963.783
273,19.522,0.0041,19.009,0.0049,0.513,0.0064,508.312,1772.076
274,19.232,0.0036,18.749,0.0043,0.483,0.0056,512.599,1774.014
279,19.916,0.007,19.366,0.018,0.55,0.0193,535.393,1796.706
281,19.641,0.016,19.123,0.004,0.518,0.0165,526.553,1818.588
282,19.784,0.0047,19.277,0.0055,0.507,0.0072,561.927,1760.976
