InputX InputY InputF606W InputF814W OutputX OutputY OutputF606W OutputF814W
2392.117 986.882 -12.093999999999998 -11.720999999999997 2392.117 986.882 -12.098626977439668 -11.715986094241146
2418.307 954.544 -12.114 -11.726999999999997 2418.307 954.544 -12.112418719967955 -11.728713513662512
2473.291 948.127 -11.942999999999998 -11.561999999999998 2473.291 948.127 -11.937400480984014 -11.568142491349938
2483.855 971.416 -12.747 -12.322 2483.855 971.416 -12.745681599691618 -12.323378328376613
2512.499 917.08 -13.672 -13.275999999999996 2512.499 917.08 -13.670167656865718 -13.277539159767166
2510.124 957.915 -12.602999999999998 -12.174999999999997 2510.124 957.915 -12.596747364916979 -12.181589747744216
2518.623 913.51 -10.504999999999999 -10.312999999999999 2518.623 913.51 -10.505641320783589 -10.31224505537875
2528.935 969.355 -12.314999999999998 -11.915 2528.935 969.355 -12.31419660857826 -11.915860154499914
2544.176 970.53 -12.995000000000001 -12.561999999999998 2544.176 970.53 -12.9938432504444 -12.563185717349043
2585.119 894.595 -14.113 -13.840999999999998 2585.119 894.595 -14.118000377402215 -13.836536081407473
2605.801 979.017 -11.735 -11.384999999999998 2605.801 979.017 -11.735246080164316 -11.384726678744734
2632.009 985.333 -10.489999999999998 -10.301999999999996 2632.009 985.333 -10.491501061689998 -10.300232992789216
2695.752 837.594 -12.065999999999999 -11.672999999999998 2695.752 837.594 -12.059537987169218 -11.680030863437413
2704.571 887.872 -10.767 -10.519999999999996 2704.571 887.872 -10.759535788085206 -10.52872268715608
2737.078 895.409 -10.870000000000001 -10.626999999999999 2737.078 895.409 -10.871696115629543 -10.62502904720423
2759.95 966.499 -11.154999999999998 -10.873999999999999 2759.95 966.499 -11.156783659208156 -10.871954167563413
2781.373 958.007 -12.413 -12.019999999999996 2781.373 958.007 -12.418835274928515 -12.013777197210509
2794.699 863.477 -11.282999999999998 -10.963999999999999 2794.699 863.477 -11.27387963373333 -10.974383974255616
2796.083 925.687 -10.614 -10.403999999999996 2796.083 925.687 -10.613801779968107 -10.404232807078014
2810.808 962.323 -12.971 -12.546 2810.808 962.323 -12.973548949596204 -12.543387218569979
2831.096 945.314 -11.535 -11.193999999999999 2831.096 945.314 -11.529431930842325 -11.20026315239339
2858.814 764.071 -10.442 -10.261 2858.814 764.071 -10.443347609649635 -10.259410254025433
2842.568 818.341 -10.849999999999998 -10.579999999999998 2842.568 818.341 -10.83698891517911 -10.595163159284937
2886.109 774.616 -11.081 -10.796 2886.109 774.616 -11.076054694446157 -10.801691960064467
