,v,v_err,i,i_err,vi,vi_err,x,y
166,19.854,0.005,19.257,0.0053,0.597,0.0072,3724.075,525.041
168,18.891,0.002,18.334,0.012,0.557,0.0122,3731.682,700.16
170,19.854,0.006,19.251,0.01,0.603,0.0117,3730.607,907.93
171,19.893,0.011,19.286,0.005,0.607,0.0121,3732.449,966.826
174,20.048,0.012,19.407,0.013,0.641,0.0177,3755.055,577.241
175,20.184,0.007,19.534,0.015,0.65,0.0166,3749.433,731.248
178,19.03,0.015,18.487,0.01,0.543,0.018,3760.907,842.812
179,19.449,0.0041,18.88,0.0044,0.569,0.0061,3780.426,522.931
180,19.549,0.003,18.967,0.01,0.582,0.0104,3778.898,614.892
183,18.514,0.007,17.965,0.009,0.549,0.0114,3777.979,823.69
185,19.347,0.0039,18.788,0.0043,0.559,0.0058,3788.077,479.331
188,20.159,0.008,19.519,0.004,0.64,0.0089,3793.091,895.759
189,19.731,0.013,19.134,0.009,0.597,0.0158,3796.75,971.257
190,19.935,0.019,19.313,0.019,0.622,0.0269,3822.968,521.798
192,18.805,0.002,18.245,0.009,0.56,0.0092,3813.598,588.193
193,19.835,0.008,19.234,0.004,0.601,0.0089,3827.506,799.094
195,20.16,0.014,19.521,0.008,0.639,0.0161,3825.824,917.875
196,18.342,0.009,17.783,0.006,0.559,0.0108,3834.197,987.156
199,19.507,0.011,18.891,0.006,0.616,0.0125,3852.269,527.443
202,19.656,0.009,19.071,0.002,0.585,0.0092,3845.365,649.395
204,20.062,0.003,19.426,0.008,0.636,0.0085,3846.987,677.936
205,18.318,0.007,17.759,0.002,0.559,0.0073,3843.298,700.986
206,19.861,0.007,19.244,0.007,0.617,0.0099,3844.29,705.924
207,20.162,0.014,19.507,0.004,0.655,0.0146,3857.816,720.28
208,18.554,0.01,18.008,0.002,0.546,0.0102,3850.512,876.342
209,18.83,0.004,18.288,0.002,0.542,0.0045,3858.176,883.573
210,18.544,0.009,17.994,0.005,0.55,0.0103,3841.436,920.813
214,19.804,0.003,19.206,0.006,0.598,0.0067,3867.948,800.85
216,18.74,0.003,18.18,0.0032,0.56,0.0044,3905.753,484.703
220,18.1,0.01,17.48,0.007,0.62,0.0122,3898.789,855.713
222,19.024,0.0034,18.464,0.0037,0.56,0.005,3930.882,479.681
224,19.217,0.006,18.648,0.007,0.569,0.0092,3935.75,632.897
225,19.788,0.011,19.202,0.007,0.586,0.013,3936.987,677.203
