,v,v_err,i,i_err,vi,vi_err,x,y,Vbin,Ibin
67,18.039,0.009,17.497,0.009,0.542,0.0127,3950.794,938.231,60,60
68,18.623,0.02,18.053,0.013,0.57,0.0239,3967.597,816.633,70,70
69,18.358,0.0033,17.807,0.0036,0.551,0.0049,4007.404,680.185,70,70
70,17.874,0.008,17.341,0.009,0.533,0.012,4001.11,812.98,60,60
71,18.338,0.01,17.842,0.017,0.496,0.0197,4006.95,930.665,70,70
72,18.39,0.0033,17.833,0.0036,0.557,0.0049,4017.063,684.341,70,70
73,17.528,0.003,16.977,0.004,0.551,0.005,4018.683,881.362,50,60
74,17.97,0.007,17.438,0.007,0.532,0.0099,4037.124,863.141,60,60
75,16.398,0.0057,15.686,0.0062,0.712,0.0084,4018.793,906.91,30,30
76,18.694,0.0038,18.117,0.0041,0.577,0.0056,4047.683,688.188,70,80
77,18.889,0.028,18.306,0.016,0.583,0.0322,4061.038,798.858,80,80
78,19.023,0.0045,18.423,0.0047,0.6,0.0065,4071.872,713.177,80,80
79,19.047,0.005,18.448,0.007,0.599,0.0086,4086.623,908.345,80,80
80,18.383,0.008,17.828,0.012,0.555,0.0144,4067.012,975.663,70,70
81,17.762,0.0025,17.231,0.0027,0.531,0.0037,4095.746,713.131,60,60
82,17.558,0.001,17.008,0.001,0.55,0.0014,4136.175,708.488,60,60
83,16.723,0.0066,16.029,0.008,0.694,0.0104,4130.719,911.393,40,40
84,18.363,0.0033,17.806,0.0036,0.557,0.0049,4145.23,683.823,70,70
85,17.132,0.02,16.506,0.017,0.626,0.0262,4153.199,746.825,50,50
86,17.741,0.004,17.203,0.009,0.538,0.0098,4142.286,978.588,60,60
87,18.356,0.006,17.803,0.006,0.553,0.0085,4152.84,967.161,70,70
88,16.409,0.0057,15.705,0.0062,0.704,0.0084,4168.464,689.856,30,30
89,18.55,0.009,17.991,0.018,0.559,0.0201,4183.294,818.264,70,70
90,18.508,0.004,17.884,0.012,0.624,0.0126,4163.842,887.635,70,70
91,18.771,0.012,18.194,0.012,0.577,0.017,4176.889,866.889,80,80
92,15.898,0.0045,15.176,0.0049,0.722,0.0066,4182.415,894.298,20,20
93,18.93,0.003,18.337,0.014,0.593,0.0143,4170.653,921.448,80,80
94,18.381,0.006,17.833,0.016,0.548,0.0171,4249.08,802.922,70,70
95,18.88,0.011,18.289,0.016,0.591,0.0194,4258.651,805.355,80,80
96,17.365,0.006,16.8,0.008,0.565,0.01,4246.891,913.169,50,50
97,16.813,0.0068,16.136,0.0076,0.677,0.0102,4287.276,655.269,40,40
98,18.273,0.0031,17.729,0.0034,0.544,0.0047,4264.243,664.617,70,70
99,16.418,0.0057,15.719,0.0062,0.699,0.0084,4274.832,927.313,30,30
100,18.194,0.028,17.65,0.028,0.544,0.0396,4310.784,693.133,70,70
101,18.749,0.022,18.171,0.032,0.578,0.0388,4329.907,720.659,80,80
102,16.633,0.0063,15.932,0.0069,0.701,0.0093,4325.785,824.932,40,40
