InputX InputY InputF606W InputF814W OutputX OutputY OutputF606W OutputF814W
3393.214 812.597 -11.572 -11.474000000000004 3393.214 812.597 -11.572152413070992 -11.473829283173849
3395.278 798.642 -13.759 -13.619000000000003 3395.278 798.642 -13.758785040957644 -13.619171324687088
3393.308 929.965 -11.0 -10.961000000000002 3393.308 929.965 -10.994833071965719 -10.966992364386613
3395.317 961.92 -13.71 -13.556000000000001 3395.317 961.92 -13.708599541450173 -13.557148870990535
3436.188 781.347 -10.86 -10.834000000000003 3436.188 781.347 -10.851485955667123 -10.843953735052402
3413.51 866.982 -11.652000000000001 -11.533000000000001 3413.51 866.982 -11.645899276936355 -11.539805966202525
3420.348 878.72 -12.503 -12.325000000000003 3420.348 878.72 -12.501786035613069 -12.326287422964786
3426.557 895.711 -12.048000000000002 -11.902000000000001 3426.557 895.711 -12.046821765015174 -11.903284580566993
3443.053 846.626 -10.352 -10.414000000000001 3443.053 846.626 -10.347782977085558 -10.419059647827197
3446.416 925.499 -11.41 -11.322000000000003 3446.416 925.499 -11.40617460616486 -11.326325065544452
3443.855 967.653 -10.288 -10.368000000000002 3443.855 967.653 -10.28746311194504 -10.368641952189314
3486.147 815.32 -13.664000000000001 -13.497000000000003 3486.147 815.32 -13.660794065328911 -13.499702675517199
3468.455 933.663 -11.216999999999999 -11.188000000000002 3468.455 933.663 -11.230910754746692 -11.172104396766436
3485.932 978.298 -12.658000000000001 -12.465000000000003 3485.932 978.298 -12.653330257965084 -12.469901153134344
3504.855 929.286 -11.216000000000001 -11.150000000000002 3504.855 929.286 -11.211511597924584 -11.155134637756632
3533.22 796.068 -13.341999999999999 -13.129000000000001 3533.22 796.068 -13.33272812584946 -13.137931103924966
3514.347 841.091 -14.455000000000002 -14.432000000000002 3514.347 841.091 -14.458505853669458 -14.428638468521003
3535.521 914.07 -11.748999999999999 -11.617 3535.521 914.07 -11.741295688463818 -11.62554844872259
3549.303 767.862 -11.253 -11.185000000000002 3549.303 767.862 -11.249801676486726 -11.188649198065985
3542.206 820.563 -10.985 -10.946000000000002 3542.206 820.563 -10.978811935509658 -10.953185364149618
3548.209 942.08 -13.337 -13.139000000000003 3548.209 942.08 -13.33531490764237 -13.140620320054694
3540.312 964.505 -11.222000000000001 -11.157000000000004 3540.312 964.505 -11.218379557524518 -11.161140144337459
3552.757 976.132 -11.687999999999999 -11.588000000000001 3552.757 976.132 -11.693175667714282 -11.582241589660711
3579.204 732.295 -13.553 -13.368000000000002 3579.204 732.295 -13.549366652528985 -13.37123499203954
3578.831 864.943 -10.984000000000002 -10.951 3578.831 864.943 -10.980709165819242 -10.954819650045835
3576.791 956.239 -10.825 -10.803 3576.791 956.239 -10.81595920363587 -10.813571876980113
3610.015 757.622 -11.998999999999999 -11.850000000000001 3610.015 757.622 -11.9942746395866 -11.85516851339096
3604.529 765.295 -11.452000000000002 -11.352000000000004 3604.529 765.295 -11.444599434553137 -11.360349486853444
3600.692 848.304 -11.084 -11.042000000000002 3600.692 848.304 -11.08296039599777 -11.043198968119128
3598.494 869.702 -12.192 -12.041 3598.494 869.702 -12.193994534716484 -12.038844371136484
3593.157 892.835 -10.626999999999999 -10.650000000000002 3593.157 892.835 -10.62622933915712 -10.650901818931182
3599.425 898.003 -10.225999999999999 -10.304000000000002 3599.425 898.003 -10.218642258144019 -10.314671179949354
3588.159 939.45 -11.054000000000002 -11.005000000000003 3588.159 939.45 -11.047514190942547 -11.012494851887599
3607.17 953.456 -11.05 -10.990000000000002 3607.17 953.456 -11.037808176979869 -11.004099817163961
3626.257 734.616 -13.16 -12.955000000000002 3626.257 734.616 -13.156342330742948 -12.958666072809311
3627.829 776.511 -13.331 -13.127000000000002 3627.829 776.511 -13.326437857785692 -13.131402075093078
3627.341 810.615 -12.333000000000002 -12.152000000000001 3627.341 810.615 -12.325027094779056 -12.160549804690227
3618.725 900.946 -10.315000000000001 -10.384 3618.725 900.946 -10.311215218241035 -10.388522436096185
3617.365 934.897 -12.208000000000002 -12.042000000000002 3617.365 934.897 -12.203111545773819 -12.047281336694471
3613.816 987.16 -10.975000000000001 -10.949000000000002 3613.816 987.16 -10.974553736267538 -10.949518185844624
3649.975 734.066 -11.908000000000001 -11.773000000000003 3649.975 734.066 -11.906264368886966 -11.774907844180813
3650.463 742.219 -13.075 -12.866000000000003 3650.463 742.219 -13.068972839518782 -12.872122799164917
3648.399 745.769 -10.479 -10.511000000000003 3648.399 745.769 -10.47093787847739 -10.520784841918537
3649.952 873.091 -12.735 -12.542000000000002 3649.952 873.091 -12.732039305267651 -12.545091029433394
3658.288 901.451 -16.147 -16.192 3658.288 901.451 -16.15141954608346 -16.18777594668569
3652.612 929.519 -12.588000000000001 -12.394000000000002 3652.612 929.519 -12.581105970575436 -12.401272602215084
3650.564 951.224 -10.301000000000002 -10.361 3650.564 951.224 -10.291667770849955 -10.372158461952523
3664.089 726.56 -12.234000000000002 -12.057000000000002 3664.089 726.56 -12.2245778839413 -12.067164333756072
3663.984 777.325 -11.411999999999999 -11.347000000000001 3663.984 777.325 -11.419703731126269 -11.338296193499527
3668.04 986.322 -10.427 -10.466000000000001 3668.04 986.322 -10.417860800970974 -10.477094698895943
3699.083 783.744 -10.992 -10.976000000000003 3699.083 783.744 -10.997662920298396 -10.969432406703724
3729.731 707.182 -10.954 -10.916 3729.731 707.182 -10.946174988630116 -10.925104701636744
3719.969 885.809 -10.398 -10.465000000000003 3719.969 885.809 -10.400103354028793 -10.462451936715286
3755.127 699.821 -11.579 -11.48 3755.127 699.821 -11.579027747703268 -11.479968930457026
3742.002 735.922 -11.455000000000002 -11.350000000000001 3742.002 735.922 -11.445286760739872 -11.36095869823584
3757.121 732.328 -12.547 -12.402000000000001 3757.121 732.328 -12.563488880119348 -12.384584043954344
3777.525 755.601 -10.518 -10.573 3777.525 755.601 -10.52455162745536 -10.565114865826153
3784.88 824.284 -11.609000000000002 -11.523000000000003 3784.88 824.284 -11.617071299419393 -11.513983580736564
3768.444 907.142 -10.577000000000002 -10.597000000000001 3768.444 907.142 -10.57105966966072 -10.604042272829592
3775.548 944.587 -11.088000000000001 -11.027000000000001 3775.548 944.587 -11.077819357472226 -11.038741264747774
3783.121 940.868 -12.465 -12.282000000000004 3783.121 940.868 -12.460187694281643 -12.287117570940705
3802.277 777.519 -11.132000000000001 -11.097000000000001 3802.277 777.519 -11.13754982062975 -11.090621886527927
3796.236 822.416 -10.497 -10.523000000000003 3796.236 822.416 -10.487536755655292 -10.534469508987407
3804.114 827.23 -13.231000000000002 -13.025000000000002 3804.114 827.23 -13.226671921422852 -13.029280226506962
3795.38 865.18 -12.082 -11.926000000000002 3795.38 865.18 -12.07722733604011 -11.931194053679643
3809.882 951.124 -11.562000000000001 -11.454 3809.882 951.124 -11.556651264322472 -11.459995131570555
3801.266 965.654 -11.402999999999999 -11.333000000000002 3801.266 965.654 -11.40770588350166 -11.327679435512692
3817.021 773.45 -10.881 -10.872000000000003 3817.021 773.45 -10.882379697073471 -10.87038859439038
3815.912 808.631 -11.466000000000001 -11.364 3815.912 808.631 -11.458388824108876 -11.372578075891415
3826.849 831.01 -11.161000000000001 -11.107000000000003 3826.849 831.01 -11.158996997823092 -11.109298394563645
3813.175 855.371 -11.487000000000002 -11.389000000000003 3813.175 855.371 -11.482540404270843 -11.394019134281542
3835.118 868.854 -13.466000000000001 -13.273000000000003 3835.118 868.854 -13.462862838862925 -13.2758932208149
3827.446 970.5 -12.901 -12.705000000000002 3827.446 970.5 -12.899505286000611 -12.706540244429924
3835.459 972.35 -11.245000000000001 -11.179000000000002 3835.459 972.35 -11.242302956130484 -11.182079555743417
3861.325 747.631 -12.286000000000001 -12.116000000000003 3861.325 747.631 -12.281911266935214 -12.12039608890596
3847.513 843.318 -11.263000000000002 -11.193000000000001 3847.513 843.318 -11.259421346696314 -11.197081620583251
3858.766 861.763 -13.279 -13.053 3858.766 861.763 -13.26425757412683 -13.067455524744126
3859.138 851.998 -10.364 -10.423000000000002 3859.138 851.998 -10.359301727978 -10.428647736524322
3857.537 862.047 -12.161000000000001 -12.022000000000002 3857.537 862.047 -12.167803727840067 -12.014633222957183
3838.438 866.834 -11.401 -11.310000000000002 3838.438 866.834 -11.395170839364077 -11.316595264315225
3844.602 908.288 -10.261 -10.352000000000004 3844.602 908.288 -10.263536859777318 -10.34888650314716
3851.809 928.002 -13.661999999999999 -13.496000000000002 3851.809 928.002 -13.659470388489858 -13.498132519779062
3858.728 936.65 -11.565999999999999 -11.452000000000002 3858.728 936.65 -11.557884927397378 -11.461095780926644
3878.917 725.548 -10.436 -10.499000000000002 3878.917 725.548 -10.439420388302977 -10.494843563810555
3885.177 769.622 -10.917000000000002 -10.89 3885.177 769.622 -10.912032625285388 -10.895793974361723
3883.86 801.144 -11.238 -11.175 3883.86 801.144 -11.236359156896231 -11.176874261091655
3879.223 914.746 -14.207 -14.154000000000003 3879.223 914.746 -14.203758265183176 -14.156948465984886
3894.72 726.195 -12.365000000000002 -12.166 3894.72 726.195 -12.349104905118672 -12.183019593143992
3903.253 969.357 -13.144000000000002 -12.944000000000003 3903.253 969.357 -13.142815413861445 -12.945191045580703
3930.13 670.935 -12.594999999999999 -12.404000000000003 3930.13 670.935 -12.589783768627342 -12.4095003779743
3931.745 794.262 -12.318000000000001 -12.144000000000002 3931.745 794.262 -12.313013700402273 -12.149351109830317
3931.314 858.288 -11.681000000000001 -11.569000000000003 3931.314 858.288 -11.679855570293928 -11.570274146589806
3939.943 753.569 -11.495999999999999 -11.388000000000002 3939.943 753.569 -11.487073310590176 -11.398046707270918
3946.781 745.699 -13.413 -13.222000000000001 3946.781 745.699 -13.412830408593688 -13.22215941633834
3950.797 886.325 -11.966000000000001 -11.816000000000003 3950.797 886.325 -11.959359496429457 -11.823278785834113
3949.749 906.8 -12.204 -12.057000000000002 3949.749 906.8 -12.208435269972242 -12.05221003735662
3950.794 938.231 -12.940999999999999 -12.746000000000002 3950.794 938.231 -12.940565466956844 -12.746446457882929
3967.207 807.018 -10.626000000000001 -10.633000000000003 3967.207 807.018 -10.617263158255305 -10.64324664238342
3979.809 788.399 -10.572 -10.609000000000002 3979.809 788.399 -10.574052479569154 -10.606566781596715
3967.597 816.633 -12.357 -12.190000000000001 3967.597 816.633 -12.3568031494173 -12.190210697318012
3977.584 890.063 -10.922 -10.885000000000002 3977.584 890.063 -10.912441509119425 -10.896144610868259
4007.404 680.185 -12.622 -12.436000000000003 4007.404 680.185 -12.619958421126604 -12.438148265032723
3996.293 761.537 -11.277000000000001 -11.212000000000003 3996.293 761.537 -11.276750515690232 -11.212284231355117
4001.11 812.98 -13.106000000000002 -12.902000000000001 4001.11 812.98 -13.10266720961895 -12.905369815331934
4003.609 909.436 -17.069000000000003 -17.151000000000003 4003.609 909.436 -16.330488198799436 -16.37540055743168
4006.95 930.665 -12.642 -12.401000000000003 4006.95 930.665 -12.612995856843355 -12.431532735943424
4017.063 684.341 -12.59 -12.410000000000004 4017.063 684.341 -12.590147073587396 -12.409844914793286
4014.886 727.145 -11.272000000000002 -11.205000000000002 4014.886 727.145 -11.270455694714638 -11.206760041930888
4018.683 881.362 -13.452000000000002 -13.266000000000002 4018.683 881.362 -13.452923337158474 -13.265144661070202
4037.124 863.141 -13.010000000000002 -12.805000000000003 4037.124 863.141 -13.005385483772635 -12.809715169109765
4018.793 906.91 -14.582 -14.557000000000002 4018.793 906.91 -14.582034151417947 -14.556967070971517
4019.325 889.203 -11.382000000000001 -11.284000000000002 4019.325 889.203 -11.371604623441517 -11.295778482474198
4047.683 688.188 -12.286000000000001 -12.126000000000001 4047.683 688.188 -12.286898039674831 -12.125034813849464
4061.038 798.858 -12.091000000000001 -11.937000000000001 4061.038 798.858 -12.087586096923694 -11.940713979775431
4062.359 856.022 -10.905000000000001 -10.872000000000003 4062.359 856.022 -10.896223399221963 -10.882244412161434
4043.457 965.785 -10.739 -10.737000000000002 4043.457 965.785 -10.733719339930566 -10.743152859828616
4069.612 709.893 -11.695 -11.562000000000001 4069.612 709.893 -11.684124364725715 -11.574108348396695
4071.872 713.177 -11.957 -11.820000000000004 4071.872 713.177 -11.956439265438718 -11.820614632119089
4077.412 843.732 -11.413 -11.324000000000002 4077.412 843.732 -11.408849490085206 -11.328690980519028
4086.623 908.345 -11.933 -11.795000000000002 4086.623 908.345 -11.930886061163076 -11.797320413441597
4067.012 975.663 -12.597000000000001 -12.415000000000003 4067.012 975.663 -12.596327951949235 -12.415708360610687
4092.122 685.611 -10.432000000000002 -10.481000000000002 4092.122 685.611 -10.428203747758879 -10.48561218945547
4095.746 713.131 -13.218 -13.012 4095.746 713.131 -13.21374192688873 -13.016222194693398
4100.106 901.724 -11.035 -10.992 4100.106 901.724 -11.030215160918132 -10.99753586665128
4133.017 647.87 -10.982 -10.966000000000001 4133.017 647.87 -10.986979676070462 -10.960222464559674
4136.175 708.488 -13.422 -13.235000000000003 4136.175 708.488 -13.423526586796228 -13.233570831627404
4131.116 850.635 -10.538 -10.585 4131.116 850.635 -10.542274232839777 -10.579881955159635
4130.719 911.393 -14.257000000000001 -14.214000000000002 4130.719 911.393 -14.256466819347597 -14.214492003135838
4134.727 893.541 -10.349 -10.437000000000001 4134.727 893.541 -10.357319735770677 -10.426998945279305
4133.646 974.592 -10.302 -10.383000000000003 4133.646 974.592 -10.303078437621387 -10.381711962527689
4145.23 683.823 -12.617 -12.437000000000001 4145.23 683.823 -12.617830540478106 -12.43612605822355
4153.199 746.825 -13.847999999999999 -13.737000000000002 4153.199 746.825 -13.849730868870662 -13.735660680051136
4142.069 876.851 -10.661000000000001 -10.682000000000002 4142.069 876.851 -10.661650683583083 -10.681242000680854
4138.409 965.283 -10.34 -10.410000000000004 4138.409 965.283 -10.338735196767626 -10.411516244322158
4142.286 978.588 -13.239 -13.040000000000003 4142.286 978.588 -13.238117489193918 -13.040870355876702
4152.84 967.161 -12.623999999999999 -12.440000000000001 4152.84 967.161 -12.623006350844719 -12.44104512969426
4156.933 985.422 -10.382000000000001 -10.449000000000002 4156.933 985.422 -10.382744112626145 -10.448101415451557
4168.464 689.856 -14.571000000000002 -14.538000000000002 4168.464 689.856 -14.567240934126566 -14.541624342101997
4183.294 818.264 -12.43 -12.252000000000002 4183.294 818.264 -12.426628330935262 -12.255592453021503
4163.842 887.635 -12.472000000000001 -12.359000000000002 4163.842 887.635 -12.502347141612987 -12.326816513030618
4176.889 866.889 -12.209 -12.049000000000003 4176.889 866.889 -12.20713903530902 -12.05100978777081
4182.415 894.298 -15.082 -15.067000000000002 4182.415 894.298 -15.077876095202353 -15.070977987705259
4170.653 921.448 -12.05 -11.906000000000002 4170.653 921.448 -12.049900520931502 -11.90610845788817
4183.061 937.567 -11.315000000000001 -11.251000000000001 4183.061 937.567 -11.317531506396609 -11.248123339088565
4164.443 987.614 -10.655999999999999 -10.665000000000003 4164.443 987.614 -10.65037027729442 -10.671565681159851
4211.786 938.787 -11.506 -11.408000000000001 4211.786 938.787 -11.502586424358157 -11.411837888893889
4235.351 927.027 -10.487000000000002 -10.520000000000003 4235.351 927.027 -10.480116509722613 -10.52834909579341
4240.393 751.53 -11.176000000000002 -11.136000000000003 4240.393 751.53 -11.181885167608005 -11.129257252014586
4249.08 802.922 -12.599 -12.410000000000004 4249.08 802.922 -12.594883984432567 -12.414338414935695
4258.651 805.355 -12.100000000000001 -11.954 4258.651 805.355 -12.100931667467389 -11.952987175113968
4252.645 885.019 -10.221 -10.316000000000003 4252.645 885.019 -10.220845283148517 -10.316217557594893
4246.891 913.169 -13.615000000000002 -13.443000000000001 4246.891 913.169 -13.61349593338895 -13.44430070072957
4260.463 914.996 -11.507000000000001 -11.426000000000002 4260.463 914.996 -11.5120834819798 -11.420286600396341
4287.276 655.269 -14.167000000000002 -14.107000000000003 4287.276 655.269 -14.162400253367167 -14.11112475517103
4264.243 664.617 -12.707 -12.514000000000003 4264.243 664.617 -12.703441037525508 -12.517722266971017
4286.404 748.51 -11.696000000000002 -11.609000000000002 4286.404 748.51 -11.70804336804746 -11.595609725666339
4274.832 927.313 -14.562000000000001 -14.524000000000003 4274.832 927.313 -14.555909749755742 -14.529871537885295
4303.17 612.413 -10.897000000000002 -10.898000000000003 4303.17 612.413 -10.904456619176063 -10.889299314757643
4310.784 693.133 -12.786000000000001 -12.593000000000004 4310.784 693.133 -12.784056806974796 -12.59502045367418
4293.796 823.274 -11.405999999999999 -11.313000000000002 4293.796 823.274 -11.399464826048373 -11.320391428173863
4325.063 677.994 -12.699000000000002 -12.512 4325.063 677.994 -12.698262100487636 -12.51277209996606
4329.907 720.659 -12.231000000000002 -12.072000000000003 4329.907 720.659 -12.23044266605153 -12.072601014758447
4325.785 824.932 -14.347000000000001 -14.311000000000002 4325.785 824.932 -14.346759680024 -14.311226649013873
4314.525 867.165 -10.748999999999999 -10.753000000000004 4314.525 867.165 -10.747390122444 -10.754878123664493
4344.35 882.775 -13.568999999999999 -13.392000000000003 4344.35 882.775 -13.568320110686127 -13.39260027827936
4361.095 885.345 -10.868000000000002 -10.861 4361.095 885.345 -10.869441978868835 -10.859315039443214
4367.268 812.685 -10.545000000000002 -10.587000000000003 4367.268 812.685 -10.547382436403435 -10.58415273183655
4375.985 789.394 -12.286999999999999 -12.116000000000003 4375.985 789.394 -12.28244744365887 -12.120894778433286
4385.984 872.133 -11.908000000000001 -11.775000000000002 4385.984 872.133 -11.90725991066822 -11.775813522593783
4394.166 636.29 -12.536000000000001 -12.362000000000002 4394.166 636.29 -12.53770583649009 -12.360195302368172
4394.375 879.324 -10.622 -10.647000000000002 4394.375 879.324 -10.621857034474324 -10.647167476106713
4393.43 904.428 -11.231000000000002 -11.180000000000003 4393.43 904.428 -11.234874416716483 -11.175574428482594
4405.009 937.768 -12.654 -12.467000000000002 4405.009 937.768 -12.65223269225988 -12.468855688543751
4432.397 638.669 -11.625 -11.524000000000001 4432.397 638.669 -11.626450292658149 -11.522380425253903
4418.22 730.774 -13.940999999999999 -13.858 4418.22 730.774 -13.94406814154243 -13.855523163613302
4416.508 748.023 -14.711000000000002 -14.611000000000002 4416.508 748.023 -14.671179523192961 -14.649406831648355
4433.326 754.482 -13.030000000000001 -12.821000000000002 4433.326 754.482 -13.02358760563261 -12.82754224725203
4432.168 779.367 -11.975999999999999 -11.825000000000003 4432.168 779.367 -11.969293697204638 -11.832345690633122
4421.877 820.963 -12.148 -11.995000000000001 4421.877 820.963 -12.147326353075712 -11.995730197011742
4435.768 830.153 -10.337 -10.421000000000003 4435.768 830.153 -10.34237435471827 -10.41455176798311
4426.921 912.535 -12.051000000000002 -11.908000000000001 4426.921 912.535 -12.051439898889662 -11.907520396548758
4419.496 918.184 -10.463000000000001 -10.513000000000002 4419.496 918.184 -10.462387440950994 -10.51374411972299
4439.237 722.864 -11.965 -11.827000000000002 4439.237 722.864 -11.964289873888255 -11.827778106890541
4446.433 725.528 -12.294 -12.119000000000003 4446.433 725.528 -12.287695047023561 -12.125776374656045
4445.959 789.93 -13.074000000000002 -12.871000000000002 4445.959 789.93 -13.070963105197617 -12.874082868398773
4485.252 565.049 -12.289000000000001 -12.120000000000001 4485.252 565.049 -12.285513794924729 -12.123746868819818
4477.496 700.414 -11.514 -11.416 4477.496 700.414 -11.511024417496671 -11.419344300611815
4476.839 714.973 -10.543 -10.600000000000001 4476.839 714.973 -10.552613993971953 -10.588533726122389
4463.985 844.673 -11.431000000000001 -11.344000000000001 4463.985 844.673 -11.428866276818134 -11.346409012024171
4489.627 646.425 -10.822 -10.815000000000001 4489.627 646.425 -10.820153736217893 -10.817158932995628
4493.509 651.936 -12.654 -12.468000000000004 4493.509 651.936 -12.652732097527274 -12.469331308656564
4496.178 694.02 -11.365000000000002 -11.288000000000004 4496.178 694.02 -11.364032770525942 -11.289096314432925
