v,v_err,i,i_err,vi,vi_err,x,y
18.508,0.004,17.884,0.012,0.624,0.0126,4163.842,887.635
18.771,0.012,18.194,0.012,0.577,0.017,4176.889,866.889
15.898,0.0045,15.176,0.0049,0.722,0.0066,4182.415,894.298
18.93,0.003,18.337,0.014,0.593,0.0143,4170.653,921.448
18.381,0.006,17.833,0.016,0.548,0.0171,4249.08,802.922
18.88,0.011,18.289,0.016,0.591,0.0194,4258.651,805.355
17.365,0.006,16.8,0.008,0.565,0.01,4246.891,913.169
16.813,0.0068,16.136,0.0076,0.677,0.0102,4287.276,655.269
18.273,0.0031,17.729,0.0034,0.544,0.0047,4264.243,664.617
16.418,0.0057,15.719,0.0062,0.699,0.0084,4274.832,927.313
18.194,0.028,17.65,0.028,0.544,0.0396,4310.784,693.133
18.281,0.044,17.731,0.029,0.55,0.0527,4325.063,677.994
18.749,0.022,18.171,0.032,0.578,0.0388,4329.907,720.659
16.633,0.0063,15.932,0.0069,0.701,0.0093,4325.785,824.932
17.411,0.008,16.851,0.011,0.56,0.0136,4344.35,882.775
18.693,0.009,18.127,0.017,0.566,0.0192,4375.985,789.394
19.072,0.014,18.468,0.013,0.604,0.0191,4385.984,872.133
18.444,0.0034,17.881,0.0037,0.563,0.005,4394.166,636.29
18.326,0.005,17.776,0.016,0.55,0.0168,4405.009,937.768
17.039,0.02,16.385,0.014,0.654,0.0244,4418.22,730.774
16.269,0.0053,15.632,0.006,0.637,0.008,4416.508,748.023
17.95,0.003,17.422,0.021,0.528,0.0212,4433.326,754.482
19.004,0.003,18.418,0.009,0.586,0.0095,4432.168,779.367
18.832,0.01,18.248,0.011,0.584,0.0149,4421.877,820.963
18.929,0.009,18.335,0.01,0.594,0.0135,4426.921,912.535
19.015,0.011,18.416,0.016,0.599,0.0194,4439.237,722.864
18.686,0.022,18.124,0.029,0.562,0.0364,4446.433,725.528
17.906,0.012,17.372,0.012,0.534,0.017,4445.959,789.93
18.691,0.0038,18.123,0.0041,0.568,0.0056,4485.252,565.049
18.326,0.018,17.775,0.035,0.551,0.0394,4493.509,651.936
18.302,0.014,17.745,0.01,0.557,0.0172,4492.208,847.59
18.719,0.007,18.138,0.008,0.581,0.0106,4492.914,876.902
18.78,0.036,18.197,0.044,0.583,0.0569,4520.509,647.005
19.198,0.008,18.594,0.022,0.604,0.0234,4516.238,767.601
18.44,0.006,17.846,0.007,0.594,0.0092,4522.795,881.102
16.114,0.0049,15.392,0.0053,0.722,0.0073,4519.726,895.912
17.524,0.004,16.971,0.011,0.553,0.0117,4514.771,934.045
19.092,0.009,18.472,0.012,0.62,0.015,4516.45,944.832
18.174,0.007,17.625,0.01,0.549,0.0122,4529.178,981.722
18.821,0.003,18.241,0.01,0.58,0.0104,4560.336,915.022
17.608,0.0023,17.08,0.0025,0.528,0.0034,4567.912,621.211
18.138,0.005,17.589,0.012,0.549,0.013,4632.895,909.579
19.222,0.01,18.613,0.007,0.609,0.0122,4653.064,793.482
17.876,0.004,17.331,0.005,0.545,0.0064,4656.684,974.049
18.722,0.012,18.162,0.014,0.56,0.0184,4681.419,744.171
18.688,0.021,18.111,0.016,0.577,0.0264,4724.709,795.732
19.08,0.007,18.476,0.008,0.604,0.0106,4731.08,807.149
