v,v_err,i,i_err,vi,vi_err,x,y
22.302,0.0094,21.719,0.0107,0.583,0.0143,2567.096,872.844
20.956,0.008,20.487,0.024,0.469,0.0253,2586.948,946.917
22.713,0.042,22.072,0.0126,0.641,0.0439,2586.729,962.431
21.58,0.011,21.078,0.022,0.502,0.0246,2563.165,980.367
22.85,0.01,22.197,0.04,0.653,0.0412,2650.543,966.808
22.916,0.054,22.221,0.011,0.695,0.0551,2667.749,934.087
21.557,0.0067,21.055,0.0078,0.502,0.0103,2695.586,844.956
22.052,0.0084,21.469,0.0095,0.583,0.0127,2700.421,877.541
18.072,0.0045,17.449,0.0051,0.623,0.0068,2728.046,887.192
22.851,0.0122,22.14,0.013,0.711,0.0178,2750.895,928.495
22.794,0.017,22.101,0.032,0.693,0.0362,2741.621,966.801
20.449,0.004,20.02,0.0048,0.429,0.0063,2775.461,839.458
20.773,0.0046,20.262,0.0054,0.511,0.0071,2830.032,799.501
22.215,0.009,21.627,0.0102,0.588,0.0136,2885.841,773.129
22.366,0.052,21.736,0.009,0.63,0.0528,2867.922,918.496
22.614,0.014,21.948,0.031,0.666,0.034,2878.89,939.205
21.252,0.0058,20.784,0.0069,0.468,0.009,2902.116,762.7
20.358,0.0038,19.947,0.024,0.411,0.0243,2935.32,824.505
20.455,0.009,20.04,0.0049,0.415,0.0102,2962.709,890.687
19.969,0.004,19.546,0.015,0.423,0.0155,3006.908,984.264
21.935,0.016,21.391,0.028,0.544,0.0322,3023.58,932.45
19.078,0.014,18.511,0.014,0.567,0.0198,3046.31,815.84
20.002,0.118,19.595,0.143,0.407,0.1854,3056.356,857.477
22.479,0.01,21.735,0.0374,0.744,0.0387,3107.23,901.98
22.725,0.001,22.066,0.022,0.659,0.022,3114.27,867.318
22.539,0.002,21.924,0.026,0.615,0.0261,3162.206,788.65
21.72,0.005,21.178,0.021,0.542,0.0216,3184.24,883.669
17.108,0.0028,16.459,0.0032,0.649,0.0043,3193.653,874.222
22.086,0.026,21.468,0.02,0.618,0.0328,3191.386,927.872
20.246,0.007,19.816,0.012,0.43,0.0139,3197.192,922.442
22.803,0.005,22.114,0.0127,0.689,0.0136,3229.437,761.569
21.533,0.019,21.048,0.004,0.485,0.0194,3221.722,938.993
22.16,0.027,21.586,0.014,0.574,0.0304,3327.917,714.448
22.247,0.007,21.644,0.01,0.603,0.0122,3340.085,873.957
21.362,0.015,20.869,0.018,0.493,0.0234,3353.918,873.293
22.068,0.02,21.478,0.008,0.59,0.0215,3383.386,832.251
22.845,0.0119,22.128,0.0127,0.717,0.0174,3393.139,606.296
22.564,0.015,21.919,0.027,0.645,0.0309,3398.004,891.807
22.372,0.014,21.758,0.016,0.614,0.0213,3392.443,987.592
22.132,0.0086,21.528,0.009,0.604,0.0125,3417.76,780.936
20.632,0.004,20.189,0.006,0.443,0.0072,3416.197,807.02
20.565,0.015,20.131,0.01,0.434,0.018,3431.089,828.886
22.216,0.0089,21.615,0.01,0.601,0.0134,3481.162,618.089
22.921,0.031,22.249,0.0,0.672,0.031,3463.113,709.073
22.834,0.029,22.16,0.015,0.674,0.0326,3463.369,836.625
20.925,0.006,20.476,0.013,0.449,0.0143,3511.632,784.566
22.058,0.013,21.482,0.017,0.576,0.0214,3500.955,911.128
22.679,0.01,21.994,0.033,0.685,0.0345,3499.589,938.522
21.767,0.018,21.239,0.017,0.528,0.0248,3517.997,750.426
21.71,0.025,21.169,0.002,0.541,0.0251,3524.797,754.672
20.61,0.015,20.187,0.011,0.423,0.0186,3516.424,905.704
22.223,0.011,21.632,0.005,0.591,0.0121,3587.946,733.388
