,v,v_err,i,i_err,vi,vi_err,x,y
3107,22.735,0.009,22.052,0.05,0.6849705318538636,0.0508,3412.487,3906.368
3108,20.497,0.024,20.08,0.004,0.41425633159930075,0.0243,3419.345,3140.815
3109,21.431,0.012,20.937,0.007,0.4912563315993007,0.0139,3425.293,3153.345
3110,19.367,0.008,18.874,0.007,0.49086468406885364,0.0106,3417.614,3283.443
3111,20.115,0.01,19.692,0.005,0.420511388791838,0.0112,3422.09,3336.378
3112,18.835,0.004,18.239,0.005,0.5933893699871133,0.0064,3425.886,3365.172
3113,22.109,0.015,21.496,0.021,0.6102507403735316,0.0258,3422.817,3429.552
3114,21.448,0.011,20.922,0.013,0.5233893699871134,0.017,3428.527,3413.126
3115,21.129,0.006,20.643,0.021,0.4851132261901275,0.0218,3429.99,3560.618
3116,20.031,0.005,19.598,0.003,0.4313110743448757,0.0058,3415.369,3580.174
3117,21.196,0.014,20.714,0.007,0.4811132261901275,0.0157,3436.479,3648.055
3118,22.043,0.019,21.468,0.02,0.5735172306029606,0.0276,3461.039,2995.361
3119,21.586,0.008,21.07,0.021,0.5145172306029606,0.0225,3440.513,3038.731
3120,22.55,0.009,21.918,0.023,0.6305172306029606,0.0247,3449.698,3092.054
3121,20.73,0.012,20.288,0.005,0.4399252038803891,0.013,3453.608,3132.228
3122,21.34,0.007,20.852,0.013,0.48512378398238065,0.0148,3446.497,3349.491
3123,19.524,0.007,19.062,0.006,0.46262975836410697,0.0092,3442.441,3700.944
3124,22.537,0.021,21.883,0.01,0.6525172306029606,0.0233,3472.489,3008.605
3125,19.098,0.004,18.537,0.005,0.5585658266067118,0.0064,3474.065,3127.534
3126,20.831,0.009,20.375,0.007,0.45471123568583793,0.0114,3468.781,3214.755
3127,21.418,0.009,20.905,0.017,0.5103862380138642,0.0192,3471.786,3350.667
3128,21.732,0.008,21.204,0.003,0.5255762931491823,0.0085,3477.42,3437.448
3129,22.028,0.012,21.45,0.014,0.5768689550423324,0.0184,3477.242,3587.49
3130,22.322,0.011,21.719,0.014,0.6031379993698387,0.0178,3477.478,3704.762
3131,20.524,0.004,20.095,0.007,0.4325908203775958,0.0081,3477.772,3853.305
3132,20.133,0.006,19.687,0.007,0.4495908203775958,0.0092,3486.506,3849.945
3133,20.893,0.009,20.44,0.004,0.4563266167251603,0.0098,3470.08,3863.997
3134,19.412,0.006,18.933,0.003,0.47692520388038906,0.0067,3495.991,2999.376
3135,22.56,0.015,21.913,0.033,0.6442543166493879,0.0362,3495.154,3106.446
3136,22.16,0.007,21.56,0.012,0.5974846393709154,0.0139,3505.135,3150.456
3137,21.619,0.008,21.09,0.006,0.5277693680057615,0.01,3511.148,3238.447
3138,21.693,0.024,21.165,0.008,0.5267693680057615,0.0253,3506.551,3295.64
3139,21.262,0.01,20.778,0.006,0.4821810343466205,0.0117,3505.434,3433.853
3140,22.014,0.011,21.451,0.015,0.5613110743448757,0.0186,3507.155,3419.536
3141,20.941,0.012,20.477,0.009,0.46161372062354517,0.015,3492.775,3466.367
3142,22.644,0.021,21.973,0.033,0.6713469444713942,0.0391,3505.385,3780.134
