v,v_err,i,i_err,vi,vi_err,x,y
21.024,0.005,20.569,0.006,0.455,0.0078,2070.301,981.386
22.323,0.009,21.742,0.0104,0.581,0.0138,2249.734,964.047
22.711,0.036,22.092,0.014,0.619,0.0386,2762.374,953.579
21.404,0.0059,20.895,0.007,0.509,0.0091,2837.333,828.268
22.409,0.013,21.793,0.029,0.616,0.0318,2827.841,890.47
22.308,0.007,21.778,0.014,0.53,0.0157,2838.131,908.034
20.98,0.0048,20.526,0.0058,0.454,0.0076,3074.474,698.167
22.397,0.029,21.847,0.012,0.55,0.0314,3142.869,769.291
21.331,0.022,20.859,0.004,0.472,0.0224,3148.576,904.358
21.178,0.005,20.7,0.011,0.478,0.0121,3186.197,978.251
19.866,0.007,19.405,0.005,0.461,0.0086,3237.209,892.243
19.95,0.001,19.485,0.015,0.465,0.015,3324.077,758.127
21.056,0.0,20.592,0.029,0.464,0.029,3459.762,841.143
22.368,0.0091,21.803,0.0105,0.565,0.0139,3470.578,637.819
21.225,0.008,20.759,0.006,0.466,0.01,3579.746,876.477
23.078,0.022,22.4,0.01,0.678,0.0242,3597.958,890.594
22.115,0.011,21.55,0.016,0.565,0.0194,3608.051,948.958
21.083,0.007,20.617,0.001,0.466,0.0071,3710.826,782.353
20.001,0.019,19.541,0.017,0.46,0.0255,3748.292,638.642
22.414,0.018,21.812,0.035,0.602,0.0394,3788.994,622.967
22.485,0.008,21.866,0.018,0.619,0.0197,3897.864,864.714
22.329,0.017,21.735,0.01,0.594,0.0197,3939.636,908.523
21.531,0.019,21.034,0.013,0.497,0.023,3958.168,930.443
22.341,0.028,21.749,0.019,0.592,0.0338,3987.624,781.213
20.624,0.006,20.181,0.013,0.443,0.0143,3980.111,972.284
21.963,0.0075,21.464,0.0089,0.499,0.0116,4054.309,538.856
20.999,0.009,20.544,0.009,0.455,0.0127,4083.278,906.58
20.09,0.011,19.652,0.006,0.438,0.0125,4066.833,923.874
22.491,0.023,21.888,0.016,0.603,0.028,4090.975,771.132
22.125,0.008,21.574,0.0093,0.551,0.0123,4177.19,431.398
19.746,0.009,19.271,0.01,0.475,0.0135,4187.799,733.707
21.543,0.003,21.046,0.011,0.497,0.0114,4201.672,779.689
21.263,0.015,20.787,0.003,0.476,0.0153,4251.927,938.427
21.778,0.017,21.272,0.009,0.506,0.0192,4282.839,933.693
20.384,0.042,19.956,0.0046,0.428,0.0423,462.772,1691.515
23.164,0.033,22.461,0.039,0.703,0.0511,633.175,1742.63
22.189,0.021,21.616,0.009,0.573,0.0228,708.429,1590.185
19.585,0.01,19.038,0.015,0.547,0.018,706.418,1796.17
22.628,0.005,22.005,0.033,0.623,0.0334,801.923,1459.515
22.367,0.008,21.755,0.018,0.612,0.0197,789.094,1592.707
20.55,0.01,20.111,0.016,0.439,0.0189,836.047,1707.761
20.498,0.012,20.057,0.012,0.441,0.017,863.586,1674.178
22.251,0.007,21.661,0.009,0.59,0.0114,891.73,1816.846
22.856,0.0117,22.185,0.0129,0.671,0.0174,925.139,1268.684
23.067,0.018,22.378,0.028,0.689,0.0333,916.04,1515.556
20.689,0.019,20.24,0.018,0.449,0.0262,1059.323,1890.992
