id x y Vvega err VIvega err Ivega err Vground Iground Nv  Ni wV wI xsig ysig othv othi qfitV qfitI RA Dec               
                                                                                                                        
                                                                                                                        
    30 2815.187  928.738   27.498   0.1116    1.616   0.1337   25.882   0.0737   27.951   25.877  1  1  1  1  0.053  0.154  0.000  0.000  1.021  1.145   182.5286132    18.5133992
    31 2830.180  945.625   30.728   0.7552    0.321   1.2337   30.407   0.9756   30.771   30.364  1  1  1  1  0.316  0.053  0.000  0.000  1.884  0.903   182.5283936    18.5136337
    32 2838.131  908.034   22.308   0.0070    0.530   0.0157   21.778   0.0140   22.440   21.735  2  2  1  1  0.003  0.011  0.000  0.000  0.046  0.043   182.5282772    18.5131116
    33 2896.113  856.712   25.736   0.3300    1.529   0.3376   24.207   0.0710   26.170   24.198  2  2  1  1  0.036  0.028  0.000  0.000  0.228  0.184   182.5274280    18.5123988
    34 2894.275  959.861   26.093   0.0210    1.419   0.2509   24.674   0.2500   26.502   24.659  2  2  1  1  0.032  0.016  0.000  0.000  0.374  0.364   182.5274549    18.5138314
    35 2912.206  984.616   27.150   0.0908   -0.752   0.2502   27.902   0.2332   27.063   27.758  1  1  1  1  0.027  0.174  0.000  0.000  1.053  1.066   182.5271922    18.5141753
    36 2931.993  904.105   28.654   0.2285    1.720   0.2628   26.934   0.1299   29.128   26.935  1  1  1  1  0.154  0.283  0.000  0.000  1.451  1.734   182.5269024    18.5130570
    37 2959.624  986.753   28.290   1.5410    4.291   1.5414   23.999   0.0330   28.960   24.174  3  3  1  1  0.058  0.153  0.000  0.000  1.110  0.235   182.5264977    18.5142049
    38 2973.111  961.507   25.828   0.1870    1.417   0.1906   24.411   0.0370   26.237   24.396  3  3  1  1  0.058  0.021  0.000  0.000  0.331  0.277   182.5263002    18.5138543
    39 2982.996  971.987   26.823   0.0490    1.244   0.1664   25.579   0.1590   27.187   25.556  2  3  1  1  0.242  0.070  0.000  0.000  0.844  0.963   182.5261553    18.5139999
    40 2997.419  829.128   26.332   0.0595    0.443   0.0619   25.889   0.0170   26.429   25.846  1  2  1  1  0.097  0.004  0.000  0.000  0.701  0.359   182.5259441    18.5120157
    41 3004.810  879.942   26.716   0.5210    0.994   0.8985   25.722   0.7320   27.010   25.689  2  2  1  1  0.146  0.067  0.000  0.000  0.858  0.685   182.5258358    18.5127215
    42 2994.305  963.845   26.078   0.0890    1.225   0.4823   24.853   0.4740   26.437   24.830  2  2  1  1  0.034  0.043  0.000  0.000  0.390  0.280   182.5259898    18.5138868
    43 3074.474  698.167   20.980   0.0048    0.454   0.0076   20.526   0.0058   21.081   20.483  1  1  1  1  0.009  0.001  0.000  0.000  0.039  0.042   182.5248156    18.5101968
    44 3070.301  957.763   25.912   0.2820    0.980   0.3171   24.932   0.1450   26.202   24.899  3  3  1  1  0.044  0.020  0.000  0.000  0.488  0.396   182.5248766    18.5138023
    45 3066.122  977.665   25.651   0.1740    0.408   0.7097   25.243   0.6880   25.732   25.200  4  4  1  1  0.063  0.158  0.000  0.000  0.508  0.744   182.5249378    18.5140787
    46 3133.477  829.144   27.140   1.4110    1.632   1.4123   25.508   0.0604   27.596   25.505  2  1  1  1  0.063  0.033  0.017  0.011  0.667  0.593   182.5239513    18.5120159
    47 3126.249  864.775   23.855   0.0560    0.790   0.0843   23.065   0.0630   24.083   23.027  2  3  1  1  0.006  0.002  0.000  0.000  0.107  0.095   182.5240571    18.5125108
    48 3127.703  910.150   24.949   0.1720    1.072   0.1951   23.877   0.0920   25.266   23.847  2  2  1  1  0.025  0.008  0.000  0.000  0.165  0.164   182.5240359    18.5131410
    49 3127.017  983.600   29.378   0.3925    1.547   0.4501   27.831   0.2204   29.815   27.823  1  1  1  1  0.530  0.129  0.000  0.000  1.707  1.203   182.5240458    18.5141611
    50 3144.809  761.697   27.787   0.1305    0.450   0.2088   27.337   0.1630   27.887   27.294  1  1  1  1  0.152  0.281  0.508  0.711  1.333  1.516   182.5237853    18.5110791
    51 3142.869  769.291   22.397   0.0290    0.550   0.0314   21.847   0.0120   22.537   21.805  2  2  1  1  0.000  0.006  0.000  0.000  0.041  0.056   182.5238137    18.5111846
    52 3154.765  781.616   26.561   0.0666    1.030   0.2849   25.531   0.2770   26.865   25.500  1  2  1  1  0.027  0.072  0.000  0.000  0.842  0.521   182.5236396    18.5113558
    53 3140.267  833.217   26.040   0.3770    1.028   0.3829   25.012   0.0670   26.344   24.981  2  2  1  1  0.044  0.041  0.003  0.017  0.325  0.286   182.5238518    18.5120725
