,v,v_err,i,i_err,vi,vi_err,x,y
4304,21.497,0.002,21.004,0.013,0.504758479397218,0.0132,2424.071,3069.472
4305,21.04,0.007,20.582,0.007,0.46916785589993926,0.0099,2429.281,3073.283
4307,21.4,0.01,20.929,0.003,0.48275847939721794,0.0104,2415.295,3105.569
4309,20.892,0.008,20.442,0.013,0.46175847939721804,0.0153,2437.714,3104.581
4311,20.569,0.004,20.132,0.01,0.44678702469429316,0.0108,2436.417,3161.62
4313,21.712,0.017,21.204,0.015,0.5173004626188138,0.0227,2418.253,3184.43
4316,21.032,0.008,20.577,0.01,0.458977668855783,0.0128,2430.584,3291.465
4318,18.949,0.007,18.33,0.006,0.6223894426766723,0.0092,2416.238,3434.643
4319,21.077,0.006,20.614,0.011,0.4659553234135493,0.0125,2436.449,3425.494
4323,21.448,0.007,20.938,0.017,0.5087248939391803,0.0184,2428.772,3794.591
4325,20.792,0.003,20.329,0.01,0.460897709391491,0.0104,2420.309,3876.518
4327,20.691,0.013,20.242,0.006,0.44557181088400977,0.0143,2413.315,3896.335
4328,19.683,0.005,19.166,0.009,0.5124441900633213,0.0103,2436.305,3981.307
4329,21.571,0.012,21.068,0.02,0.5156479026092675,0.0233,2440.795,2992.329
4334,19.625,0.004,19.106,0.003,0.5291507998510407,0.005,2445.532,3061.68
4339,19.157,0.005,18.552,0.007,0.616758479397218,0.0086,2438.615,3112.326
4340,20.948,0.006,20.502,0.002,0.45716785589993925,0.0063,2441.481,3098.078
4341,21.014,0.009,20.552,0.012,0.47410559690150256,0.015,2452.378,3109.828
4345,20.519,0.007,20.084,0.007,0.4451507998510408,0.0099,2449.944,3138.368
4346,19.227,0.009,18.627,0.006,0.6091617896080133,0.0108,2440.11,3206.574
4347,20.185,0.007,19.741,0.011,0.4525773198439987,0.013,2442.546,3200.479
4348,20.486,0.008,20.054,0.007,0.44067659940922477,0.0106,2455.031,3191.95
4351,21.3,0.005,20.813,0.023,0.48980853950997816,0.0235,2450.347,3271.936
4352,21.561,0.009,21.055,0.01,0.5088085395099782,0.0135,2453.642,3308.403
4357,19.944,0.002,19.486,0.006,0.46177195019626177,0.0063,2457.065,3399.644
4358,21.485,0.003,20.988,0.022,0.4999553234135492,0.0222,2462.22,3475.356
4360,20.369,0.003,19.926,0.013,0.44638944267667235,0.0133,2438.547,3522.812
4361,19.864,0.008,19.383,0.006,0.48344638005514495,0.01,2455.877,3515.364
4363,21.05,0.007,20.564,0.01,0.4836692531811114,0.0122,2450.907,3738.103
4364,21.609,0.016,21.083,0.004,0.5236692531811115,0.0165,2451.28,3755.552
4365,19.934,0.007,19.462,0.008,0.4697452719836275,0.0106,2452.061,3801.648
4367,19.969,0.016,19.514,0.006,0.45044419006332126,0.0171,2444.581,3910.175
4369,20.703,0.009,20.246,0.007,0.45244419006332126,0.0114,2452.505,3914.486
4371,20.68,0.007,20.236,0.012,0.45575847939721803,0.0139,2473.301,3052.839
4373,19.838,0.007,19.373,0.006,0.4768791730607741,0.0092,2486.273,3081.385
4374,19.411,0.004,18.829,0.004,0.5917870246942931,0.0057,2464.314,3149.239
4376,21.634,0.011,21.121,0.017,0.5226033036540982,0.0202,2470.863,3188.955
4378,20.151,0.019,19.71,0.01,0.4494340929566012,0.0215,2477.238,3229.57
4379,21.649,0.025,21.125,0.022,0.5324340929566012,0.0333,2484.142,3231.169
4385,21.565,0.011,21.054,0.012,0.5141115358730998,0.0163,2476.316,3334.093
4386,21.022,0.008,20.549,0.013,0.4759130244700732,0.0153,2481.316,3358.392
4387,20.991,0.012,20.534,0.014,0.4597811695661331,0.0184,2482.079,3346.774
4392,21.357,0.013,20.86,0.015,0.4955724565313169,0.0198,2478.594,3624.167
4395,21.407,0.004,20.914,0.008,0.4907452719836275,0.0089,2478.28,3819.728
4397,21.314,0.034,20.852,0.006,0.473909686014941,0.0345,2507.741,2996.34
4398,20.901,0.006,20.444,0.018,0.46917562229788345,0.019,2510.526,2990.357
4399,21.446,0.002,20.953,0.01,0.5046946288369868,0.0102,2491.412,3027.237
4400,19.921,0.009,19.469,0.001,0.46417562229788345,0.0091,2488.798,3062.533
4401,20.642,0.012,20.202,0.01,0.45217562229788344,0.0156,2490.767,3068.809
4402,20.654,0.01,20.208,0.018,0.4578791730607741,0.0206,2491.92,3085.179
4403,20.613,0.024,20.179,0.018,0.44477529418165096,0.03,2492.088,3117.66
4404,20.724,0.006,20.278,0.007,0.456579004633315,0.0092,2511.013,3113.508
4410,20.875,0.012,20.416,0.007,0.462470259073543,0.0139,2501.646,3280.875
4415,21.061,0.009,20.596,0.006,0.46851885385746916,0.0108,2502.038,3382.047
