,v,v_err,i,i_err,vi,vi_err,x,y
256,20.05,0.0053,19.502,0.0058,0.548,0.0078,3505.989,738.002
258,20.554,0.02,19.995,0.021,0.559,0.029,3492.549,760.865
260,20.196,0.012,19.666,0.01,0.53,0.0156,3510.874,783.966
264,19.835,0.002,19.322,0.009,0.513,0.0092,3506.084,889.219
266,17.092,0.004,16.376,0.0043,0.716,0.0059,3497.711,985.414
267,19.489,0.009,18.994,0.008,0.495,0.012,3489.722,979.435
274,19.187,0.006,18.693,0.005,0.494,0.0078,3513.941,848.153
275,20.074,0.003,19.542,0.011,0.532,0.0114,3537.944,905.956
277,18.674,0.002,18.146,0.003,0.528,0.0036,3520.22,961.954
280,18.786,0.003,18.269,0.0033,0.517,0.0044,3540.813,664.333
281,16.989,0.0039,16.268,0.0041,0.721,0.0056,3558.427,726.44
282,20.075,0.0054,19.565,0.0059,0.51,0.008,3543.419,723.849
283,19.6,0.008,19.097,0.014,0.503,0.0161,3542.909,760.326
285,20.547,0.027,19.953,0.029,0.594,0.0396,3538.558,804.182
291,20.089,0.007,19.544,0.011,0.545,0.013,3539.692,907.971
296,19.555,0.003,19.043,0.014,0.512,0.0143,3571.32,885.582
300,20.301,0.005,19.778,0.016,0.523,0.0168,3573.94,918.184
301,19.444,0.005,18.956,0.014,0.488,0.0149,3569.212,942.071
303,20.017,0.012,19.499,0.008,0.518,0.0144,3563.573,985.847
312,20.459,0.007,19.902,0.006,0.557,0.0092,3590.415,928.266
315,19.345,0.008,18.847,0.004,0.498,0.0089,3593.88,953.247
316,20.473,0.015,19.899,0.015,0.574,0.0212,3605.789,941.649
319,18.744,0.0029,18.211,0.0032,0.533,0.0043,3634.627,642.626
322,20.268,0.021,19.738,0.007,0.53,0.0221,3615.025,824.006
323,19.401,0.01,18.91,0.008,0.491,0.0128,3631.202,819.137
326,20.137,0.016,19.588,0.003,0.549,0.0163,3620.032,923.668
327,18.958,0.001,18.457,0.011,0.501,0.011,3621.439,919.247
328,20.626,0.013,20.063,0.002,0.563,0.0132,3625.896,947.312
331,19.861,0.001,19.328,0.018,0.533,0.018,3650.161,754.643
340,20.419,0.003,19.868,0.041,0.551,0.0411,3681.495,764.862
341,19.741,0.005,19.222,0.007,0.519,0.0086,3680.775,847.117
356,19.58,0.003,19.072,0.01,0.508,0.0104,3732.407,794.586
357,18.695,0.006,18.171,0.004,0.524,0.0072,3723.869,820.118
358,20.159,0.013,19.615,0.007,0.544,0.0148,3723.927,848.761
359,19.311,0.003,18.822,0.006,0.489,0.0067,3732.213,956.648
361,19.808,0.003,19.286,0.006,0.522,0.0067,3725.395,982.227
362,20.031,0.011,19.498,0.008,0.533,0.0136,3729.528,983.261
367,19.286,0.0037,18.763,0.0041,0.523,0.0055,3740.841,681.863
371,20.071,0.006,19.537,0.007,0.534,0.0092,3745.862,870.909
373,20.521,0.01,19.937,0.004,0.584,0.0108,3757.173,907.137
384,19.812,0.003,19.301,0.008,0.511,0.0085,3774.297,878.681
392,20.34,0.009,19.79,0.016,0.55,0.0184,3802.436,862.449
395,20.608,0.0068,20.024,0.0073,0.584,0.01,3833.494,653.911
396,19.807,0.0047,19.277,0.0052,0.53,0.007,3829.851,663.139
