,v,v_err,i,i_err,vi,vi_err,x,y
2,19.991,0.0032,19.501,0.0039,0.49724760360992704,0.0051,2132.868,981.236
3,20.799,0.0047,20.233,0.0055,0.5736125162317354,0.0072,2134.287,971.397
5,20.29,0.0037,19.794,0.0045,0.5051422969249508,0.0058,2152.419,973.64
8,20.681,0.0187,20.172,0.0053,0.5170745575988683,0.0194,2176.636,962.267
9,18.69,0.0074,18.136,0.0021,0.5621055917492989,0.0077,2174.779,965.148
11,19.632,0.0027,19.152,0.0033,0.4881055917492988,0.0043,2181.748,986.471
12,20.798,0.0047,20.252,0.0055,0.5540745575988684,0.0072,2190.948,964.471
17,20.652,0.0044,20.114,0.0052,0.5479484429215982,0.0068,2270.484,936.744
19,20.68,0.0045,20.139,0.0052,0.5515683574760077,0.0069,2301.897,953.637
24,19.462,0.0025,18.953,0.003,0.5202088303030175,0.0039,2337.629,954.312
25,17.53,0.0043,16.858,0.0047,0.6834374048266162,0.0064,2340.359,925.161
27,19.764,0.0029,19.3,0.0035,0.4745683574760077,0.0046,2351.738,929.252
29,19.61,0.0027,19.15,0.0033,0.4723786745999309,0.0043,2366.198,976.003
32,19.919,0.0031,19.44,0.0038,0.49208126493918414,0.0049,2394.247,916.039
33,19.099,0.0021,18.63,0.0026,0.48160358277310605,0.0034,2389.916,942.757
34,20.184,0.0035,19.675,0.0042,0.5213617820635195,0.0055,2420.884,929.031
35,20.273,0.0037,19.777,0.0044,0.5098745351966603,0.0057,2424.043,959.263
38,20.6,0.0043,20.077,0.0051,0.5354030193938807,0.0066,2482.858,979.221
39,20.752,0.0046,20.215,0.0054,0.5508314638498517,0.0071,2485.802,986.303
40,20.543,0.0042,20.013,0.0049,0.5423617820635195,0.0065,2502.842,900.648
42,20.847,0.0048,20.298,0.0056,0.5613617820635195,0.0074,2497.681,975.167
43,20.358,0.0038,19.831,0.0045,0.5389495869739773,0.0059,2535.69,907.496
44,20.703,0.0045,20.146,0.0052,0.5694030193938807,0.0069,2527.54,933.839
46,19.309,0.0024,18.854,0.0029,0.4683213883683054,0.0037,2535.221,943.518
49,18.934,0.026,18.435,0.018,0.5113617820635195,0.0316,2537.803,973.902
50,18.958,0.002,18.429,0.0024,0.5408136045613317,0.0031,2548.863,875.194
51,19.171,0.0022,18.701,0.0027,0.48194958697397733,0.0035,2544.519,896.022
52,19.143,0.0022,18.659,0.0026,0.49581360456133156,0.0034,2553.434,903.056
56,20.07,0.0034,19.579,0.004,0.5029166768252367,0.0052,2573.688,903.237
58,18.499,0.0067,17.898,0.0019,0.6131568778922452,0.007,2567.737,952.544
59,20.283,0.0037,19.765,0.0044,0.5299166768252367,0.0057,2574.406,964.013
60,20.063,0.0033,19.569,0.004,0.5058136045613315,0.0052,2580.116,980.507
61,19.273,0.0023,18.78,0.0028,0.5049495869739773,0.0036,2611.41,856.535
63,19.86,0.003,19.376,0.025,0.49591667682523666,0.0252,2605.784,956.121
64,20.25,0.0036,19.754,0.0044,0.5079348123088059,0.0057,2597.807,986.586
66,19.952,0.001,19.471,0.01,0.49210815458585955,0.01,2632.525,931.382
67,19.526,0.001,19.051,0.003,0.48570023462228223,0.0032,2628.365,953.228
70,19.863,0.003,19.369,0.0036,0.5042557908440117,0.0048,2638.865,849.192
75,20.764,0.0046,20.207,0.0054,0.5670019188363223,0.0071,2665.266,848.423
76,20.673,0.0044,20.069,0.005,0.6140019188363223,0.0067,2663.546,870.05
81,20.661,0.009,20.138,0.013,0.5347212987511538,0.0158,2710.717,915.779
83,18.894,0.005,18.399,0.012,0.5062154661508201,0.013,2689.735,970.229
84,20.712,0.0045,20.172,0.0053,0.5510465633770165,0.0069,2728.764,849.19
85,18.666,0.0017,18.098,0.004,0.5786651951596719,0.0044,2731.868,911.175
86,20.026,0.0137,19.535,0.0039,0.5023399305338092,0.0143,2736.949,903.244
