v,v_err,i,i_err,vi,vi_err,x,y
17.56,0.011,16.911,0.002,0.649,0.0112,3813.531,916.345
17.81,0.003,17.116,0.005,0.694,0.0058,3840.216,938.285
18.174,0.007,17.456,0.0,0.718,0.007,3871.558,707.675
15.137,0.003,14.377,0.004,0.76,0.005,3904.322,967.76
16.878,0.0037,16.265,0.0042,0.613,0.0056,3919.842,664.689
17.496,0.005,16.827,0.003,0.669,0.0058,3922.793,686.604
16.88,0.001,16.267,0.003,0.613,0.0032,3922.924,803.48
16.186,0.008,15.584,0.006,0.602,0.01,3947.73,758.484
16.634,0.013,16.021,0.003,0.613,0.0133,3949.001,818.317
17.984,0.019,17.286,0.016,0.698,0.0248,3943.652,876.265
16.326,0.0029,15.727,0.0033,0.599,0.0044,4011.655,720.462
17.55,0.0051,16.897,0.0056,0.653,0.0076,4116.502,876.142
17.544,0.0049,16.883,0.0054,0.661,0.0073,453.144,1968.877
17.697,0.0052,17.031,0.0058,0.666,0.0078,588.747,1986.296
18.107,0.0063,17.38,0.0068,0.727,0.0093,716.313,1903.957
16.472,0.009,15.874,0.001,0.598,0.0091,713.183,1921.082
18.023,0.001,17.309,0.009,0.714,0.0091,747.016,1895.618
17.816,0.0,17.116,0.011,0.7,0.011,766.257,1926.915
18.035,0.015,17.33,0.002,0.705,0.0151,880.303,1885.032
17.968,0.0059,17.255,0.008,0.713,0.01,918.183,1807.379
15.752,0.004,15.082,0.004,0.67,0.0057,932.13,1970.411
17.105,0.018,16.483,0.004,0.622,0.0184,957.727,1793.647
16.753,0.027,16.133,0.016,0.62,0.0314,954.334,1860.82
17.544,0.011,16.873,0.006,0.671,0.0125,957.077,1897.696
17.438,0.018,16.772,0.009,0.666,0.0201,984.939,1790.008
16.782,0.011,16.164,0.001,0.618,0.011,985.702,1877.176
17.966,0.007,17.247,0.012,0.719,0.0139,1009.7,1886.672
18.145,0.01,17.421,0.016,0.724,0.0189,1000.17,1942.54
15.557,0.002,14.828,0.0021,0.729,0.0029,1046.655,1675.072
15.961,0.011,15.33,0.006,0.631,0.0125,1062.91,1888.524
15.861,0.0023,15.223,0.0025,0.638,0.0034,1086.935,1596.582
16.07,0.0025,15.447,0.0028,0.623,0.0038,1108.756,1682.21
17.083,0.01,16.455,0.012,0.628,0.0156,1098.03,1977.345
15.416,0.005,14.668,0.007,0.748,0.0086,1117.087,1974.649
16.405,0.02,15.805,0.014,0.6,0.0244,1156.292,1698.46
16.583,0.004,15.978,0.011,0.605,0.0117,1154.839,1851.709
17.087,0.006,16.454,0.007,0.633,0.0092,1143.632,1892.042
17.886,0.005,17.179,0.002,0.707,0.0054,1155.999,1971.151
17.642,0.013,16.973,0.003,0.669,0.0133,1174.052,1843.283
16.99,0.006,16.369,0.006,0.621,0.0085,1203.252,1700.472
17.62,0.019,16.957,0.004,0.663,0.0194,1231.139,1658.303
17.39,0.007,16.73,0.008,0.66,0.0106,1234.42,1747.964
17.11,0.007,16.49,0.009,0.62,0.0114,1215.468,1961.674
17.772,0.009,17.103,0.012,0.669,0.015,1220.781,1967.689
17.338,0.002,16.683,0.011,0.655,0.0112,1244.495,1802.825
16.868,0.01,16.251,0.012,0.617,0.0156,1246.289,1893.005
16.068,0.009,15.46,0.006,0.608,0.0108,1290.26,1930.077
16.698,0.007,16.094,0.006,0.604,0.0092,1299.092,1948.362
16.461,0.003,15.849,0.0034,0.612,0.0045,1326.756,1549.376
17.216,0.024,16.585,0.001,0.631,0.024,1315.296,1627.565
16.907,0.004,16.292,0.022,0.615,0.0224,1355.769,1560.088
17.773,0.015,17.102,0.006,0.671,0.0162,1360.916,1573.564
15.778,0.004,15.13,0.005,0.648,0.0064,1339.901,1964.541
15.85,0.0023,15.204,0.0025,0.646,0.0034,1395.167,1585.363
17.137,0.01,16.498,0.005,0.639,0.0112,1395.898,1811.011
15.886,0.008,15.249,0.005,0.637,0.0094,1398.124,1855.132
17.44,0.0047,16.774,0.0052,0.666,0.007,1421.348,1508.005
18.117,0.011,17.395,0.021,0.722,0.0237,1420.851,1649.038
17.532,0.011,16.872,0.012,0.66,0.0163,1426.554,1780.673
17.477,0.008,16.805,0.003,0.672,0.0085,1463.027,1612.382
17.917,0.008,17.202,0.001,0.715,0.0081,1459.303,1648.619
18.043,0.012,17.327,0.005,0.716,0.013,1458.805,1706.806
15.671,0.008,14.967,0.009,0.704,0.012,1442.009,1916.095
17.944,0.031,17.213,0.016,0.731,0.0349,1462.501,1923.322
16.19,0.003,15.598,0.012,0.592,0.0124,1469.789,1474.493
17.812,0.01,17.126,0.006,0.686,0.0117,1506.033,1707.028
16.11,0.003,15.496,0.007,0.614,0.0076,1509.528,1782.076
18.073,0.016,17.359,0.023,0.714,0.028,1509.819,1847.922
16.438,0.01,15.832,0.008,0.606,0.0128,1532.438,1634.032
18.122,0.006,17.389,0.011,0.733,0.0125,1519.062,1676.1
16.61,0.009,16.005,0.006,0.605,0.0108,1537.204,1730.893
16.946,0.007,16.324,0.011,0.622,0.013,1533.625,1797.062
15.8,0.005,15.132,0.008,0.668,0.0094,1561.768,1621.762
17.57,0.006,16.897,0.003,0.673,0.0067,1547.356,1706.304
17.408,0.009,16.753,0.005,0.655,0.0103,1554.95,1743.196
17.243,0.006,16.599,0.007,0.644,0.0092,1574.848,1842.817
16.788,0.003,16.169,0.005,0.619,0.0058,1597.228,1598.438
