,v,v_err,i,i_err,vi,vi_err,x,y
244,17.587,0.0026,17.079,0.0031,0.508,0.0041,3019.656,826.296
246,16.945,0.024,16.314,0.024,0.631,0.0339,3023.433,869.785
247,18.71,0.024,18.123,0.013,0.587,0.0273,3031.577,897.933
248,18.31,0.016,17.768,0.013,0.542,0.0206,3019.742,927.22
249,18.393,0.024,17.838,0.01,0.555,0.026,3026.84,932.079
250,16.859,0.002,16.219,0.017,0.64,0.0171,3029.085,928.493
251,18.067,0.017,17.54,0.017,0.527,0.024,3029.371,917.691
254,16.283,0.0014,15.604,0.0016,0.679,0.0021,3051.646,797.515
255,18.667,0.0043,18.051,0.0049,0.616,0.0065,3041.381,824.21
257,17.383,0.018,16.865,0.009,0.518,0.0201,3045.125,865.019
258,18.66,0.035,18.093,0.019,0.567,0.0398,3054.25,863.763
259,18.332,0.009,17.769,0.005,0.563,0.0103,3052.216,904.255
260,18.499,0.009,17.93,0.016,0.569,0.0184,3038.771,935.435
262,17.863,0.007,17.35,0.019,0.513,0.0202,3060.253,917.71
263,18.226,0.015,17.631,0.014,0.595,0.0205,3047.269,947.605
265,18.056,0.0033,17.528,0.0038,0.528,0.005,3080.779,846.916
270,18.117,0.012,17.592,0.004,0.525,0.0126,3071.511,916.974
272,18.765,0.011,18.185,0.01,0.58,0.0149,3076.621,986.038
274,17.483,0.0025,16.978,0.003,0.505,0.0039,3107.158,778.255
278,17.545,0.0026,17.03,0.0031,0.515,0.004,3092.422,815.217
279,17.576,0.0026,17.052,0.0031,0.524,0.004,3094.057,855.788
282,16.665,0.01,16.005,0.012,0.66,0.0156,3094.904,923.39
283,18.28,0.009,17.73,0.003,0.55,0.0095,3107.987,934.711
286,17.336,0.0023,16.837,0.0028,0.499,0.0036,3115.888,766.944
287,18.441,0.0039,17.871,0.0045,0.57,0.0059,3129.234,785.915
289,18.943,0.0049,18.342,0.0056,0.601,0.0074,3124.388,813.109
292,16.948,0.013,16.31,0.0022,0.638,0.0132,3136.178,891.792
296,17.216,0.023,16.688,0.011,0.528,0.0255,3117.052,955.555
297,17.578,0.015,17.063,0.014,0.515,0.0205,3119.469,945.011
298,18.781,0.026,18.192,0.015,0.589,0.03,3120.998,956.144
299,17.66,0.012,17.137,0.015,0.523,0.0192,3133.385,949.558
301,18.665,0.012,18.063,0.014,0.602,0.0184,3121.866,981.475
302,17.985,0.0032,17.477,0.0037,0.508,0.0049,3152.314,748.906
303,17.715,0.0028,17.216,0.0033,0.499,0.0043,3160.55,747.739
305,18.769,0.0045,18.192,0.0052,0.577,0.0069,3149.728,811.596
306,17.994,0.0032,17.484,0.0038,0.51,0.0049,3153.269,793.207
307,18.16,0.0034,17.617,0.004,0.543,0.0053,3141.343,820.16
308,15.521,0.001,14.814,0.0011,0.707,0.0015,3146.467,835.693
310,19.01,0.006,18.404,0.031,0.606,0.0316,3143.538,855.912
314,18.87,0.02,18.286,0.013,0.584,0.0239,3148.95,869.811
315,18.6,0.006,18.034,0.031,0.566,0.0316,3153.411,899.9
316,18.164,0.005,17.624,0.014,0.54,0.0149,3158.057,893.967
319,18.338,0.03,17.775,0.017,0.563,0.0345,3160.954,958.288
321,17.74,0.013,17.208,0.003,0.532,0.0133,3160.393,974.972
324,18.518,0.004,17.958,0.0047,0.56,0.0062,3181.752,774.848
325,17.39,0.0024,16.889,0.0029,0.501,0.0037,3187.578,815.374
328,17.132,0.011,16.603,0.006,0.529,0.0125,3180.662,942.692
329,19.003,0.01,18.37,0.014,0.633,0.0172,3181.848,973.782
331,18.052,0.0033,17.525,0.0038,0.527,0.005,3188.492,784.286
333,18.843,0.0047,18.205,0.0052,0.638,0.007,3205.338,782.823
334,17.912,0.003,17.425,0.0037,0.487,0.0048,3212.265,770.352
336,17.189,0.0022,16.647,0.0026,0.542,0.0034,3205.384,791.325
338,15.883,0.064,15.25,0.031,0.633,0.0711,3198.576,848.474
339,17.894,0.011,17.374,0.023,0.52,0.0255,3198.045,871.993
341,18.85,0.029,18.233,0.006,0.617,0.0296,3211.807,898.085
342,18.216,0.029,17.686,0.022,0.53,0.0364,3211.271,924.961
343,17.765,0.009,17.231,0.007,0.534,0.0114,3212.598,919.876
347,17.33,0.005,16.804,0.004,0.526,0.0064,3203.973,984.655
352,17.687,0.012,17.179,0.014,0.508,0.0184,3218.725,851.728
353,17.885,0.018,17.372,0.005,0.513,0.0187,3220.526,873.847
359,17.259,0.02,16.733,0.016,0.526,0.0256,3215.116,951.711
361,18.775,0.026,18.176,0.015,0.599,0.03,3219.79,982.304
362,17.37,0.0024,16.864,0.0028,0.506,0.0037,3256.813,741.766
365,18.42,0.017,17.854,0.019,0.566,0.0255,3259.956,887.435
366,17.925,0.008,17.4,0.007,0.525,0.0106,3252.655,897.237
368,17.164,0.026,16.626,0.022,0.538,0.0341,3259.804,934.799
369,17.069,0.009,16.521,0.006,0.548,0.0108,3246.741,953.841
370,18.533,0.023,17.97,0.022,0.563,0.0318,3261.185,950.192
372,17.904,0.003,17.394,0.0036,0.51,0.0047,3268.806,759.548
374,17.726,0.0028,17.217,0.0033,0.509,0.0043,3269.984,763.157
376,18.487,0.017,17.923,0.0046,0.564,0.0176,3280.157,829.697
377,18.388,0.028,17.832,0.027,0.556,0.0389,3263.672,844.431
378,17.979,0.028,17.454,0.025,0.525,0.0375,3268.38,851.293
381,17.962,0.016,17.433,0.004,0.529,0.0165,3267.728,875.615
383,17.498,0.011,16.983,0.008,0.515,0.0136,3287.173,944.763
385,18.163,0.011,17.634,0.015,0.529,0.0186,3282.877,964.15
386,18.975,0.005,18.374,0.0057,0.601,0.0075,3310.467,728.19
388,17.06,0.0021,16.482,0.0024,0.578,0.0031,3300.463,747.894
389,18.753,0.0045,18.175,0.0052,0.578,0.0068,3293.326,772.352
390,18.712,0.0044,18.124,0.005,0.588,0.0067,3293.915,781.523
394,18.872,0.003,18.261,0.019,0.611,0.0192,3297.458,833.573
395,18.898,0.021,18.307,0.018,0.591,0.0277,3303.58,822.872
396,18.676,0.02,18.121,0.01,0.555,0.0224,3307.965,866.322
401,16.646,0.0017,15.981,0.008,0.665,0.0082,3306.087,942.474
402,17.463,0.029,16.946,0.01,0.517,0.0307,3308.198,949.351
403,18.798,0.0046,18.236,0.0053,0.562,0.007,3318.434,732.991
404,18.776,0.0045,18.17,0.0051,0.606,0.0069,3323.709,719.15
405,17.629,0.0027,17.128,0.0032,0.501,0.0042,3326.066,734.28
406,17.854,0.003,17.335,0.0035,0.519,0.0046,3318.516,761.809
409,18.197,0.0035,17.669,0.0041,0.528,0.0054,3323.772,802.012
410,18.568,0.016,18.011,0.037,0.557,0.0403,3330.344,830.405
411,18.353,0.015,17.81,0.002,0.543,0.0151,3337.237,836.076
412,17.535,0.018,17.029,0.015,0.506,0.0234,3326.944,839.482
413,17.543,0.0026,17.034,0.009,0.509,0.0094,3333.529,847.95
414,17.426,0.013,16.907,0.008,0.519,0.0153,3314.487,909.884
415,18.115,0.006,17.581,0.001,0.534,0.0061,3324.765,890.851
416,17.604,0.009,17.093,0.012,0.511,0.015,3313.34,946.218
418,17.682,0.017,17.165,0.007,0.517,0.0184,3328.259,954.047
