v,v_err,i,i_err,vi,vi_err,x,y
22.402,0.0096,21.764,0.0106,0.638,0.0143,1414.239,855.702
20.855,0.0047,20.39,0.0056,0.465,0.0073,1487.355,772.757
20.262,0.0036,19.831,0.0043,0.431,0.0056,1474.132,859.517
22.673,0.347,22.03,0.165,0.643,0.3842,1472.504,929.586
20.354,0.0,19.916,0.014,0.438,0.014,1477.49,975.427
20.285,0.019,19.864,0.028,0.421,0.0338,1503.547,830.891
21.658,0.002,21.13,0.027,0.528,0.0271,1534.677,793.661
19.066,0.002,18.493,0.0023,0.573,0.0031,1559.759,420.569
21.098,0.0052,20.613,0.0062,0.485,0.0081,1562.381,493.776
22.51,0.01,21.821,0.0108,0.689,0.0147,1562.586,489.076
22.301,0.0091,21.705,0.0103,0.596,0.0137,1556.202,588.758
20.066,0.012,19.646,0.02,0.42,0.0233,1555.817,792.752
20.878,0.003,20.42,0.008,0.458,0.0085,1549.7,895.975
22.515,0.01,21.862,0.011,0.653,0.0149,1575.372,490.13
20.93,0.022,20.455,0.007,0.475,0.0231,1572.795,629.866
19.983,0.011,19.572,0.024,0.411,0.0264,1566.795,720.226
22.072,0.019,21.472,0.0,0.6,0.019,1575.301,805.196
21.529,0.041,21.018,0.001,0.511,0.041,1584.051,951.609
19.757,0.0028,19.32,0.0034,0.437,0.0044,1593.458,519.731
19.727,0.022,19.324,0.015,0.403,0.0266,1617.816,497.295
21.669,0.013,21.113,0.013,0.556,0.0184,1625.086,987.578
22.104,0.0083,21.524,0.0094,0.58,0.0125,1662.721,335.218
22.358,0.015,21.721,0.003,0.637,0.0153,1648.078,429.478
20.791,0.009,20.347,0.006,0.444,0.0108,1657.868,434.431
19.564,0.012,19.152,0.011,0.412,0.0163,1652.154,649.871
22.559,0.018,21.91,0.008,0.649,0.0197,1659.595,880.367
22.246,0.023,21.618,0.008,0.628,0.0244,1653.036,984.442
20.795,0.004,20.332,0.005,0.463,0.0064,1663.511,709.392
22.033,0.009,21.439,0.019,0.594,0.021,1663.84,949.524
19.232,0.025,18.746,0.017,0.486,0.0302,1708.565,542.088
20.282,0.005,19.871,0.015,0.411,0.0158,1708.944,578.216
21.531,0.018,20.988,0.009,0.543,0.0201,1690.234,853.292
21.003,0.012,20.543,0.006,0.46,0.0134,1736.013,462.697
21.738,0.019,21.186,0.01,0.552,0.0215,1722.365,774.8
22.663,0.042,21.965,0.014,0.698,0.0443,1726.617,817.385
19.975,0.0031,19.567,0.0038,0.408,0.0049,1754.63,355.07
21.227,0.023,20.739,0.012,0.488,0.0259,1739.755,556.386
21.91,0.018,21.331,0.012,0.579,0.0216,1739.234,720.157
19.315,0.005,18.848,0.017,0.467,0.0177,1748.615,833.706
21.875,0.018,21.312,0.017,0.563,0.0248,1762.651,959.513
20.953,0.006,20.466,0.012,0.487,0.0134,1785.224,451.454
22.458,0.037,21.792,0.021,0.666,0.0425,1764.802,843.591
21.814,0.022,21.264,0.026,0.55,0.0341,1781.723,863.854
22.267,0.007,21.634,0.012,0.633,0.0139,1793.345,651.538
22.56,0.01,21.887,0.012,0.673,0.0156,1823.442,490.762
22.097,0.013,21.475,0.022,0.622,0.0256,1830.333,561.849
20.748,0.009,20.282,0.01,0.466,0.0135,1815.614,612.593
21.527,0.022,20.995,0.022,0.532,0.0311,1822.319,749.011
21.038,0.016,20.548,0.012,0.49,0.02,1823.211,910.379
20.828,0.008,20.394,0.016,0.434,0.0179,1862.811,608.103
22.567,0.023,21.872,0.018,0.695,0.0292,1843.016,753.008
20.31,0.007,19.866,0.006,0.444,0.0092,1858.044,914.104
22.577,0.022,21.896,0.019,0.681,0.0291,1851.397,963.971
20.184,0.011,19.76,0.014,0.424,0.0178,1879.827,835.17
20.997,0.012,20.529,0.001,0.468,0.012,1896.122,430.736
20.298,0.009,19.866,0.017,0.432,0.0192,1893.252,595.906
19.445,0.012,18.994,0.009,0.451,0.015,1904.299,804.829
22.012,0.04,21.425,0.022,0.587,0.0457,1922.965,387.493
21.822,0.014,21.254,0.013,0.568,0.0191,1925.604,626.409
22.185,0.019,21.571,0.009,0.614,0.021,1933.822,900.272
22.143,0.025,21.543,0.009,0.6,0.0266,1936.302,906.531
21.882,0.066,21.281,0.009,0.601,0.0666,1953.003,425.666
18.537,0.001,17.923,0.013,0.614,0.013,1949.114,526.086
22.142,0.02,21.533,0.024,0.609,0.0312,1948.334,671.504
22.137,0.011,21.511,0.017,0.626,0.0202,1948.805,753.519
19.955,0.009,19.533,0.014,0.422,0.0166,1949.954,948.391
21.78,0.023,21.205,0.014,0.575,0.0269,1948.468,975.761
20.965,0.0049,20.512,0.0059,0.453,0.0077,1967.741,222.359
22.7,0.06,22.04,0.094,0.66,0.1115,1963.851,358.225
21.245,0.025,20.663,0.016,0.582,0.0297,1970.428,489.452
21.257,0.012,20.704,0.023,0.553,0.0259,1970.141,571.864
21.559,0.013,21.023,0.014,0.536,0.0191,1976.2,758.628
20.877,0.013,20.403,0.007,0.474,0.0148,1985.174,857.865
22.279,0.021,21.648,0.021,0.631,0.0297,1984.532,922.764
22.139,0.014,21.546,0.011,0.593,0.0178,2007.298,408.034
22.14,0.011,21.521,0.024,0.619,0.0264,1997.306,707.371
21.584,0.013,21.051,0.015,0.533,0.0198,2003.127,785.224
22.041,0.005,21.321,0.028,0.72,0.0284,2008.235,984.244
20.035,0.0032,19.646,0.004,0.389,0.0051,2031.859,274.633
22.26,0.027,21.636,0.012,0.624,0.0295,2016.263,418.39
22.0,0.014,21.408,0.034,0.592,0.0368,2016.497,558.823
22.036,0.001,21.399,0.03,0.637,0.03,2019.432,629.378
18.696,0.01,18.095,0.014,0.601,0.0172,2017.374,639.3
22.664,0.016,21.965,0.017,0.699,0.0233,2019.731,696.753
20.742,0.01,20.275,0.02,0.467,0.0224,2013.448,819.078
20.155,0.005,19.726,0.009,0.429,0.0103,2026.77,828.987
21.955,0.025,21.3,0.041,0.655,0.048,2024.429,980.659
20.21,0.012,19.781,0.016,0.429,0.02,2050.616,722.175
20.535,0.057,20.077,0.019,0.458,0.0601,2085.123,353.22
21.638,0.0067,21.117,0.004,0.521,0.0078,2068.571,392.23
21.86,0.012,21.274,0.017,0.586,0.0208,2075.917,681.922
21.3,0.016,20.787,0.015,0.513,0.0219,2073.572,731.038
20.46,0.006,19.971,0.014,0.489,0.0152,2083.816,771.425
20.397,0.007,19.959,0.012,0.438,0.0139,2070.415,959.164
22.451,0.027,21.787,0.024,0.664,0.0361,2093.643,655.851
21.078,0.02,20.604,0.021,0.474,0.029,2102.175,648.869
21.458,0.01,20.937,0.014,0.521,0.0172,2101.879,844.264
20.519,0.015,20.008,0.007,0.511,0.0166,2092.404,870.038
21.298,0.013,20.789,0.009,0.509,0.0158,2110.339,870.116
20.554,0.014,20.107,0.012,0.447,0.0184,2090.646,959.944
